SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2007208N20155,2007,36,USAGI,2007-07-29 18:00:00,18.7,143.4,974.0
2007208N20155,2007,36,USAGI,2007-07-30 00:00:00,19.3,142.6,974.0
2007208N20155,2007,36,USAGI,2007-07-30 06:00:00,19.9,141.9,967.0
2007208N20155,2007,36,USAGI,2007-07-30 12:00:00,20.5,141.4,967.0
2007208N20155,2007,36,USAGI,2007-07-30 18:00:00,21.3,140.7,963.0
2007208N20155,2007,36,USAGI,2007-07-31 00:00:00,21.9,140.1,959.0
2007208N20155,2007,36,USAGI,2007-07-31 06:00:00,22.7,139.7,956.0
2007208N20155,2007,36,USAGI,2007-07-31 12:00:00,23.4,139.0,944.0
2007208N20155,2007,36,USAGI,2007-07-31 18:00:00,24.2,137.8,937.0
2007208N20155,2007,36,USAGI,2007-08-01 00:00:00,25.1,137.0,933.0
2007208N20155,2007,36,USAGI,2007-08-01 06:00:00,26.2,135.9,937.0
2007208N20155,2007,36,USAGI,2007-08-01 12:00:00,27.5,135.0,937.0
2007208N20155,2007,36,USAGI,2007-08-01 18:00:00,29.1,133.8,937.0
2007208N20155,2007,36,USAGI,2007-08-02 00:00:00,30.6,132.9,944.0
2007208N20155,2007,36,USAGI,2007-08-02 06:00:00,31.9,131.9,956.0
2007208N20155,2007,36,USAGI,2007-08-02 12:00:00,33.0,131.5,963.0
2007208N20155,2007,36,USAGI,2007-08-02 18:00:00,34.1,131.3,974.0
2007208N20155,2007,36,USAGI,2007-08-03 00:00:00,35.9,132.1,974.0
2007208N20155,2007,36,USAGI,2007-08-03 06:00:00,37.0,133.5,982.0
2007208N20155,2007,36,USAGI,2007-08-03 12:00:00,38.4,135.2,989.0
2007208N20155,2007,36,USAGI,2007-08-03 18:00:00,39.6,136.8,993.0
