SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2012232N13141,2012,51,BOLAVEN,2012-08-22 12:00:00,19.5,137.4,956.0,,19.5,137.4,990.7528076171875,20.0,137.0
2012232N13141,2012,51,BOLAVEN,2012-08-22 18:00:00,19.6,136.4,956.0,984.51123046875,19.75,136.09451007644196,987.3721923828125,19.5,136.0
2012232N13141,2012,51,BOLAVEN,2012-08-23 00:00:00,19.7,135.8,952.0,985.410400390625,20.0,135.0938151494093,986.890380859375,20.5,135.0
2012232N13141,2012,51,BOLAVEN,2012-08-23 06:00:00,20.0,135.3,948.0,983.1246948242188,20.25,134.3432939541348,985.073974609375,20.5,134.5
2012232N13141,2012,51,BOLAVEN,2012-08-23 12:00:00,20.2,134.4,948.0,980.954833984375,20.25,134.09312022237663,984.8004760742188,20.5,134.0
2012232N13141,2012,51,BOLAVEN,2012-08-23 18:00:00,20.4,133.9,944.0,978.5881958007812,21.0,133.34259902710215,979.7864990234375,21.0,133.5
2012232N13141,2012,51,BOLAVEN,2012-08-24 00:00:00,21.1,133.8,944.0,977.52734375,21.25,132.84225156358582,973.9027099609375,21.5,133.5
2012232N13141,2012,51,BOLAVEN,2012-08-24 06:00:00,21.7,133.2,941.0,973.3848266601562,22.0,132.34190410006948,967.1494750976562,22.0,132.5
2012232N13141,2012,51,BOLAVEN,2012-08-24 12:00:00,22.3,133.0,933.0,971.19287109375,22.75,132.09173036831132,963.2200927734375,22.5,132.5
2012232N13141,2012,51,BOLAVEN,2012-08-24 18:00:00,22.9,132.7,929.0,969.4012451171875,23.0,131.59138290479498,960.0603637695312,23.0,132.0
2012232N13141,2012,51,BOLAVEN,2012-08-25 00:00:00,23.5,132.1,929.0,968.7926635742188,24.0,130.84086170952048,957.8419799804688,23.5,131.5
2012232N13141,2012,51,BOLAVEN,2012-08-25 06:00:00,24.2,131.3,933.0,967.0060424804688,24.25,130.090340514246,953.2648315429688,24.5,131.0
2012232N13141,2012,51,BOLAVEN,2012-08-25 12:00:00,24.4,130.7,933.0,967.3435668945312,24.5,129.58999305072967,953.104248046875,25.0,130.5
2012232N13141,2012,51,BOLAVEN,2012-08-25 18:00:00,24.8,130.1,933.0,965.4717407226562,25.0,129.08964558721334,949.0194702148438,25.5,129.5
2012232N13141,2012,51,BOLAVEN,2012-08-26 00:00:00,25.3,129.5,937.0,967.4732055664062,25.5,128.33912439193884,945.7449340820312,26.0,129.0
2012232N13141,2012,51,BOLAVEN,2012-08-26 06:00:00,25.9,128.9,941.0,967.2277221679688,26.0,128.08895066018067,940.114990234375,26.5,128.5
2012232N13141,2012,51,BOLAVEN,2012-08-26 12:00:00,26.6,128.0,944.0,968.8479614257812,27.0,127.088255733148,928.1798706054688,27.5,127.5
2012232N13141,2012,51,BOLAVEN,2012-08-26 18:00:00,27.5,127.4,948.0,965.990966796875,28.0,126.83808200138985,915.1986083984375,28.5,126.5
2012232N13141,2012,51,BOLAVEN,2012-08-27 00:00:00,28.5,126.9,956.0,965.041259765625,29.25,126.08756080611535,920.7913208007812,30.0,126.0
2012232N13141,2012,51,BOLAVEN,2012-08-27 06:00:00,29.9,126.0,967.0,966.4576416015625,31.0,126.08756080611535,916.5982055664062,31.0,125.5
2012232N13141,2012,51,BOLAVEN,2012-08-27 12:00:00,31.3,125.5,970.0,967.4540405273438,32.25,125.33703961084085,918.7818603515625,33.0,125.0
2012232N13141,2012,51,BOLAVEN,2012-08-27 18:00:00,33.0,125.2,970.0,967.2034301757812,34.0,124.83669214732453,918.6288452148438,35.0,124.5
2012232N13141,2012,51,BOLAVEN,2012-08-28 00:00:00,34.8,124.9,982.0,972.6947021484375,36.5,125.0868658790827,917.7295532226562,37.0,124.5
2012232N13141,2012,51,BOLAVEN,2012-08-28 06:00:00,36.7,124.6,982.0,974.9595336914062,39.25,125.83738707435718,945.7901000976562,39.5,125.0
2012232N13141,2012,51,BOLAVEN,2012-08-28 12:00:00,38.8,124.7,989.0,982.1249389648438,42.25,127.33842946490617,969.2444458007812,43.0,125.5
2012232N13141,2012,51,BOLAVEN,2012-08-28 18:00:00,41.7,125.8,996.0,979.7642211914062,45.0,128.08895066018067,970.4092407226562,45.5,126.5
