SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2016269N15165,2016,72,CHABA,2016-09-30 06:00:00,14.0,137.5,989.0,,14.0,137.5,996.0167846679688,14.5,137.0
2016269N15165,2016,72,CHABA,2016-09-30 12:00:00,14.7,136.8,985.0,,14.7,136.8,996.0167846679688,14.5,137.0
2016269N15165,2016,72,CHABA,2016-09-30 18:00:00,15.4,136.0,985.0,998.8407592773438,15.5,136.34468380820013,994.09521484375,15.5,136.5
2016269N15165,2016,72,CHABA,2016-10-01 00:00:00,16.0,135.4,982.0,1000.9188842773438,16.0,135.59416261292563,992.9640502929688,16.5,135.5
2016269N15165,2016,72,CHABA,2016-10-01 06:00:00,16.9,134.6,978.0,997.9273681640625,17.25,134.3432939541348,991.1761474609375,17.5,134.5
2016269N15165,2016,72,CHABA,2016-10-01 12:00:00,17.6,133.7,967.0,998.6317749023438,18.0,133.59277275886032,993.9317016601562,18.0,133.5
2016269N15165,2016,72,CHABA,2016-10-01 18:00:00,18.5,132.7,956.0,995.6576538085938,19.25,132.09173036831132,988.1825561523438,19.0,132.0
2016269N15165,2016,72,CHABA,2016-10-02 00:00:00,19.7,131.5,941.0,995.61376953125,20.0,131.59138290479498,987.5887451171875,20.0,131.0
2016269N15165,2016,72,CHABA,2016-10-02 06:00:00,20.8,130.4,937.0,993.6819458007812,21.25,130.84086170952048,986.9727172851562,21.0,130.0
2016269N15165,2016,72,CHABA,2016-10-02 12:00:00,21.8,129.2,937.0,993.908203125,22.75,130.090340514246,988.41259765625,22.0,129.0
2016269N15165,2016,72,CHABA,2016-10-02 18:00:00,22.8,128.3,929.0,991.9129028320312,24.0,129.3398193189715,987.7825927734375,23.5,128.5
2016269N15165,2016,72,CHABA,2016-10-03 00:00:00,23.8,127.6,922.0,991.4208374023438,25.75,128.83947185545517,989.2867431640625,24.0,128.0
2016269N15165,2016,72,CHABA,2016-10-03 06:00:00,24.9,127.0,911.0,990.8849487304688,27.25,129.3398193189715,986.480224609375,25.5,127.5
2016269N15165,2016,72,CHABA,2016-10-03 12:00:00,25.8,126.7,918.0,991.7008666992188,28.5,129.84016678248784,987.8883666992188,26.0,128.0
2016269N15165,2016,72,CHABA,2016-10-03 18:00:00,26.8,126.4,925.0,991.7470092773438,29.25,130.34051424600415,983.4298706054688,27.5,128.0
2016269N15165,2016,72,CHABA,2016-10-04 00:00:00,27.9,126.2,934.0,995.9972534179688,30.0,131.59138290479498,985.5909423828125,28.5,128.0
2016269N15165,2016,72,CHABA,2016-10-04 06:00:00,29.4,126.0,937.0,994.2201538085938,31.0,132.09173036831132,976.8781127929688,29.5,128.5
2016269N15165,2016,72,CHABA,2016-10-04 12:00:00,31.0,125.9,952.0,998.4195556640625,31.25,132.34190410006948,982.66650390625,30.5,129.0
2016269N15165,2016,72,CHABA,2016-10-04 18:00:00,32.7,126.6,966.0,998.5177612304688,32.0,132.59207783182765,984.240966796875,32.0,129.5
2016269N15165,2016,72,CHABA,2016-10-05 00:00:00,34.4,128.1,970.0,1003.6337280273438,32.5,132.84225156358582,995.662841796875,33.5,131.5
2016269N15165,2016,72,CHABA,2016-10-05 06:00:00,36.1,131.2,982.0,1003.9615478515625,33.0,134.09312022237663,998.6461791992188,34.5,134.5
