SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015286N12163,2015,93,CHAMPI,2015-10-16 06:00:00,15.7,144.9,982.0,,15.7,144.9,979.54248046875,16.0,144.0
2015286N12163,2015,93,CHAMPI,2015-10-16 12:00:00,16.1,144.1,978.0,,16.1,144.1,979.54248046875,16.0,144.0
2015286N12163,2015,93,CHAMPI,2015-10-16 18:00:00,16.5,143.3,974.0,984.0238037109375,16.75,143.34954829742875,975.2589721679688,17.0,143.5
2015286N12163,2015,93,CHAMPI,2015-10-17 00:00:00,17.0,142.4,967.0,986.6734619140625,17.25,142.59902710215425,974.6375122070312,17.5,142.5
2015286N12163,2015,93,CHAMPI,2015-10-17 06:00:00,17.7,141.6,959.0,985.7627563476562,18.0,142.09867963863792,970.0443115234375,18.5,141.5
2015286N12163,2015,93,CHAMPI,2015-10-17 12:00:00,18.4,140.7,956.0,988.322998046875,18.75,141.09798471160528,971.76025390625,19.0,141.0
2015286N12163,2015,93,CHAMPI,2015-10-17 18:00:00,18.8,140.3,956.0,985.095703125,19.25,140.34746351633078,967.8387451171875,19.5,140.0
2015286N12163,2015,93,CHAMPI,2015-10-18 00:00:00,19.2,140.1,948.0,985.6012573242188,20.0,140.0972897845726,971.0809326171875,20.0,140.0
2015286N12163,2015,93,CHAMPI,2015-10-18 06:00:00,19.5,140.1,937.0,982.63671875,20.5,140.0972897845726,966.1481323242188,20.5,140.0
2015286N12163,2015,93,CHAMPI,2015-10-18 12:00:00,19.8,140.2,929.0,981.7544555664062,20.75,140.0972897845726,961.6281127929688,20.5,140.0
2015286N12163,2015,93,CHAMPI,2015-10-18 18:00:00,20.2,140.3,933.0,979.168212890625,21.0,140.59763724808894,949.4802856445312,21.0,140.5
2015286N12163,2015,93,CHAMPI,2015-10-19 00:00:00,20.5,140.4,941.0,982.1414794921875,21.5,140.8478109798471,953.7313232421875,21.0,140.5
2015286N12163,2015,93,CHAMPI,2015-10-19 06:00:00,20.8,140.3,944.0,978.992431640625,22.0,141.09798471160528,943.7379150390625,21.5,141.0
2015286N12163,2015,93,CHAMPI,2015-10-19 12:00:00,21.0,140.2,948.0,981.376708984375,22.25,141.34815844336345,949.4901733398438,21.5,141.0
2015286N12163,2015,93,CHAMPI,2015-10-19 18:00:00,21.2,140.1,952.0,980.052734375,22.75,141.34815844336345,940.482177734375,22.0,141.0
2015286N12163,2015,93,CHAMPI,2015-10-20 00:00:00,21.5,140.1,956.0,983.6713256835938,23.0,141.5983321751216,949.66650390625,22.5,141.0
2015286N12163,2015,93,CHAMPI,2015-10-20 06:00:00,21.8,140.1,959.0,981.9286499023438,23.75,141.84850590687978,946.8635864257812,22.5,141.0
2015286N12163,2015,93,CHAMPI,2015-10-20 12:00:00,22.1,139.9,963.0,983.8570556640625,24.0,141.84850590687978,947.3927612304688,23.0,141.0
2015286N12163,2015,93,CHAMPI,2015-10-20 18:00:00,22.3,139.9,967.0,983.3792114257812,24.5,142.09867963863792,950.8238525390625,23.5,141.0
2015286N12163,2015,93,CHAMPI,2015-10-21 00:00:00,22.6,139.9,967.0,985.2464599609375,25.0,142.59902710215425,957.212158203125,23.5,141.0
2015286N12163,2015,93,CHAMPI,2015-10-21 06:00:00,22.9,140.0,963.0,983.7208862304688,25.75,142.84920083391242,949.7056884765625,24.0,141.0
2015286N12163,2015,93,CHAMPI,2015-10-21 12:00:00,23.1,140.3,959.0,987.497314453125,26.25,143.0993745656706,957.4115600585938,24.0,141.5
2015286N12163,2015,93,CHAMPI,2015-10-21 18:00:00,23.5,140.7,956.0,986.5187377929688,27.0,143.8498957609451,956.71337890625,24.5,141.5
