SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2009255N13155,2009,68,CHOI-WAN,2009-09-12 18:00:00,15.5,150.8,993.0,1004.2550659179688,15.5,150.60458651841554,1004.9520263671875,15.5,150.0
2009255N13155,2009,68,CHOI-WAN,2009-09-13 00:00:00,15.9,150.0,989.0,1004.3363037109375,15.75,150.1042390548992,1005.87548828125,15.5,148.5
2009255N13155,2009,68,CHOI-WAN,2009-09-13 06:00:00,15.8,149.3,985.0,999.7140502929688,16.0,149.10354412786657,1002.1189575195312,15.5,148.0
2009255N13155,2009,68,CHOI-WAN,2009-09-13 12:00:00,15.7,148.8,978.0,999.8601684570312,15.75,148.60319666435024,1002.376220703125,16.0,147.5
2009255N13155,2009,68,CHOI-WAN,2009-09-13 18:00:00,15.6,148.5,974.0,995.171875,15.75,148.1028492008339,997.8477172851562,15.5,147.0
2009255N13155,2009,68,CHOI-WAN,2009-09-14 00:00:00,15.7,148.2,967.0,996.270263671875,15.75,147.60250173731757,998.1251831054688,16.0,146.5
2009255N13155,2009,68,CHOI-WAN,2009-09-14 06:00:00,15.8,147.8,959.0,992.8079833984375,16.0,147.10215427380123,994.1984252929688,16.0,146.5
2009255N13155,2009,68,CHOI-WAN,2009-09-14 12:00:00,16.3,147.5,937.0,994.142578125,16.0,146.85198054204307,994.7803955078125,16.5,146.0
2009255N13155,2009,68,CHOI-WAN,2009-09-14 18:00:00,16.6,147.0,926.0,990.9453735351562,16.75,146.1014593467686,990.985107421875,17.0,145.5
2009255N13155,2009,68,CHOI-WAN,2009-09-15 00:00:00,17.1,146.6,926.0,991.5577392578125,17.0,146.1014593467686,991.4834594726562,17.5,145.0
2009255N13155,2009,68,CHOI-WAN,2009-09-15 06:00:00,17.6,145.7,926.0,989.3516235351562,17.75,144.85059068797776,986.8358764648438,18.0,144.5
2009255N13155,2009,68,CHOI-WAN,2009-09-15 12:00:00,17.9,145.0,922.0,989.0764770507812,18.0,144.10006949270326,985.8201293945312,18.5,143.5
2009255N13155,2009,68,CHOI-WAN,2009-09-15 18:00:00,18.2,144.2,918.0,987.0545043945312,18.25,143.0993745656706,982.5445556640625,19.0,142.5
2009255N13155,2009,68,CHOI-WAN,2009-09-16 00:00:00,18.6,143.4,918.0,984.285888671875,18.25,142.09867963863792,982.3428955078125,19.0,141.5
2009255N13155,2009,68,CHOI-WAN,2009-09-16 06:00:00,19.0,142.6,918.0,982.8743896484375,18.75,141.5983321751216,979.3043823242188,19.0,141.0
2009255N13155,2009,68,CHOI-WAN,2009-09-16 12:00:00,19.2,141.9,918.0,982.4703369140625,18.75,140.8478109798471,977.2803955078125,19.5,140.0
2009255N13155,2009,68,CHOI-WAN,2009-09-16 18:00:00,19.6,141.4,918.0,977.3253784179688,19.0,140.0972897845726,973.1564331054688,19.5,139.5
2009255N13155,2009,68,CHOI-WAN,2009-09-17 00:00:00,20.3,140.9,926.0,980.3788452148438,19.0,139.09659485753994,973.292236328125,19.5,138.5
2009255N13155,2009,68,CHOI-WAN,2009-09-17 06:00:00,21.0,140.3,929.0,977.3677368164062,19.25,138.5962473940236,969.0667724609375,19.5,138.0
2009255N13155,2009,68,CHOI-WAN,2009-09-17 12:00:00,21.6,139.8,933.0,975.052490234375,19.25,138.0958999305073,965.3161010742188,20.0,137.5
2009255N13155,2009,68,CHOI-WAN,2009-09-17 18:00:00,22.5,139.3,937.0,976.4882202148438,19.75,137.59555246699097,963.1116943359375,20.5,137.0
2009255N13155,2009,68,CHOI-WAN,2009-09-18 00:00:00,23.2,138.9,941.0,973.67822265625,20.0,136.84503127171646,960.007568359375,20.5,136.5
2009255N13155,2009,68,CHOI-WAN,2009-09-18 06:00:00,24.1,138.8,948.0,969.3247680664062,20.25,136.34468380820013,952.9682006835938,21.0,136.0
2009255N13155,2009,68,CHOI-WAN,2009-09-18 12:00:00,25.2,139.1,948.0,963.758544921875,21.0,136.09451007644196,951.2838134765625,21.5,136.0
2009255N13155,2009,68,CHOI-WAN,2009-09-18 18:00:00,26.4,139.6,952.0,965.49658203125,21.25,136.09451007644196,950.5324096679688,22.0,135.5
2009255N13155,2009,68,CHOI-WAN,2009-09-19 00:00:00,27.7,140.3,956.0,964.15478515625,22.0,135.8443363446838,952.0454711914062,22.5,135.5
2009255N13155,2009,68,CHOI-WAN,2009-09-19 06:00:00,29.1,141.5,963.0,963.6585083007812,22.75,135.59416261292563,942.490966796875,23.5,136.0
2009255N13155,2009,68,CHOI-WAN,2009-09-19 12:00:00,30.6,143.3,967.0,967.2255249023438,23.5,135.8443363446838,949.1674194335938,24.5,136.0
2009255N13155,2009,68,CHOI-WAN,2009-09-19 18:00:00,32.6,145.1,967.0,964.58740234375,24.5,135.8443363446838,949.1674194335938,24.5,136.0
2009255N13155,2009,68,CHOI-WAN,2009-09-20 00:00:00,34.1,146.8,974.0,966.0015869140625,25.5,136.34468380820013,949.1674194335938,24.5,136.0
2009255N13155,2009,68,CHOI-WAN,2009-09-20 06:00:00,35.1,149.2,978.0,965.7117309570312,27.0,137.09520500347463,949.1674194335938,24.5,136.0
