SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013274N18152,2013,72,DANAS,2013-10-04 18:00:00,17.9,143.9,985.0,997.18212890625,17.5,144.10006949270326,996.756591796875,17.5,143.5
2013274N18152,2013,72,DANAS,2013-10-05 00:00:00,18.2,142.3,985.0,997.5910034179688,18.0,142.84920083391242,997.5413208007812,18.0,142.0
2013274N18152,2013,72,DANAS,2013-10-05 06:00:00,18.8,141.0,982.0,994.507080078125,18.75,141.34815844336345,994.8169555664062,18.5,141.0
2013274N18152,2013,72,DANAS,2013-10-05 12:00:00,19.4,139.6,978.0,994.9293212890625,19.5,140.0972897845726,996.0548706054688,19.0,139.5
2013274N18152,2013,72,DANAS,2013-10-05 18:00:00,20.3,138.1,967.0,992.7909545898438,20.25,138.5962473940236,993.0445556640625,20.0,138.0
2013274N18152,2013,72,DANAS,2013-10-06 00:00:00,21.2,136.5,967.0,993.8819580078125,21.0,137.09520500347463,994.5454711914062,20.5,136.5
2013274N18152,2013,72,DANAS,2013-10-06 06:00:00,22.0,135.0,956.0,993.653076171875,22.0,135.59416261292563,989.0936889648438,21.5,134.5
2013274N18152,2013,72,DANAS,2013-10-06 12:00:00,22.8,133.5,948.0,993.8661499023438,22.75,133.8429464906185,990.5067749023438,22.5,133.0
2013274N18152,2013,72,DANAS,2013-10-06 18:00:00,23.9,131.8,937.0,990.0927124023438,24.0,132.09173036831132,987.0665893554688,23.5,131.5
2013274N18152,2013,72,DANAS,2013-10-07 00:00:00,25.2,130.2,933.0,994.5773315429688,24.75,130.34051424600415,988.1880493164062,24.5,130.0
2013274N18152,2013,72,DANAS,2013-10-07 06:00:00,26.6,128.8,933.0,992.7449951171875,26.0,129.3398193189715,985.111328125,26.0,129.0
2013274N18152,2013,72,DANAS,2013-10-07 12:00:00,28.1,127.7,941.0,993.7864990234375,27.5,128.08895066018067,987.57421875,27.5,128.0
2013274N18152,2013,72,DANAS,2013-10-07 18:00:00,29.7,127.1,944.0,993.0293579101562,29.25,127.58860319666434,982.8613891601562,29.0,127.0
2013274N18152,2013,72,DANAS,2013-10-08 00:00:00,31.3,127.0,956.0,995.349365234375,31.25,127.58860319666434,980.9082641601562,31.0,127.0
2013274N18152,2013,72,DANAS,2013-10-08 06:00:00,32.7,127.6,967.0,994.6903686523438,33.25,128.08895066018067,979.6532592773438,33.0,127.5
2013274N18152,2013,72,DANAS,2013-10-08 12:00:00,34.5,129.5,982.0,997.8828125,35.25,130.090340514246,983.3182983398438,35.0,129.0
2013274N18152,2013,72,DANAS,2013-10-08 18:00:00,35.6,131.5,985.0,993.626220703125,37.75,132.59207783182765,984.718017578125,37.0,131.5
