SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2024202N14130,2024,31,GAEMI,2024-07-22 00:00:00,17.6,125.9,991.0,,17.6,125.9,992.788330078125,17.5,125.5
2024202N14130,2024,31,GAEMI,2024-07-22 06:00:00,18.2,125.7,986.0,992.5242919921875,18.0,125.0868658790827,989.3936157226562,18.0,125.5
2024202N14130,2024,31,GAEMI,2024-07-22 12:00:00,18.4,125.4,984.0,991.9833374023438,18.25,125.0868658790827,985.2744750976562,18.5,125.5
2024202N14130,2024,31,GAEMI,2024-07-22 18:00:00,18.4,124.8,977.0,988.6263427734375,18.75,125.0868658790827,979.7073974609375,19.0,125.0
2024202N14130,2024,31,GAEMI,2024-07-23 00:00:00,20.0,124.9,973.0,987.0633544921875,19.5,124.83669214732453,978.9080200195312,19.5,125.5
2024202N14130,2024,31,GAEMI,2024-07-23 06:00:00,20.6,125.1,959.0,982.2086181640625,20.0,124.83669214732453,971.6218872070312,20.5,125.5
2024202N14130,2024,31,GAEMI,2024-07-23 12:00:00,21.9,124.5,952.0,980.02197265625,21.0,124.58651841556636,969.0650024414062,22.0,125.5
2024202N14130,2024,31,GAEMI,2024-07-23 18:00:00,22.8,123.5,948.0,975.6881103515625,22.0,124.08617095205003,968.56298828125,23.5,125.0
2024202N14130,2024,31,GAEMI,2024-07-24 00:00:00,23.5,123.3,935.0,975.220458984375,23.0,124.08617095205003,964.6632690429688,24.0,124.0
2024202N14130,2024,31,GAEMI,2024-07-24 06:00:00,24.2,122.5,919.0,972.6444702148438,24.0,122.8353022932592,954.4955444335938,25.0,123.5
2024202N14130,2024,31,GAEMI,2024-07-24 12:00:00,23.7,121.7,928.0,974.3566284179688,24.0,122.0847810979847,960.89990234375,25.5,122.5
2024202N14130,2024,31,GAEMI,2024-07-24 18:00:00,24.7,121.4,945.0,974.7009887695312,24.25,122.0847810979847,958.60107421875,25.5,122.0
2024202N14130,2024,31,GAEMI,2024-07-25 00:00:00,25.1,120.2,961.0,975.9869384765625,25.25,121.08408617095205,958.3057861328125,26.0,121.5
2024202N14130,2024,31,GAEMI,2024-07-25 06:00:00,25.2,119.8,964.0,977.43505859375,26.0,120.08339124391938,961.4190673828125,26.5,121.0
2024202N14130,2024,31,GAEMI,2024-07-25 12:00:00,25.6,119.4,973.0,981.424560546875,26.25,120.08339124391938,967.118896484375,26.5,119.5
2024202N14130,2024,31,GAEMI,2024-07-25 18:00:00,25.6,118.6,978.0,984.9762573242188,26.0,119.58304378040305,976.0372924804688,26.5,119.0
