SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015226N12151,2015,60,GONI,2015-08-15 00:00:00,13.5,147.1,993.0,,13.5,147.1,1000.0317993164062,14.0,147.0
2015226N12151,2015,60,GONI,2015-08-15 06:00:00,13.9,146.4,989.0,996.939453125,14.0,146.1014593467686,996.8345947265625,14.5,146.0
2015226N12151,2015,60,GONI,2015-08-15 12:00:00,14.3,145.8,985.0,997.046630859375,14.25,146.1014593467686,996.9747924804688,14.5,145.5
2015226N12151,2015,60,GONI,2015-08-15 18:00:00,14.4,145.2,982.0,992.4396362304688,14.75,145.3509381514941,993.468017578125,14.5,145.0
2015226N12151,2015,60,GONI,2015-08-16 00:00:00,14.7,144.7,978.0,992.76123046875,15.0,144.85059068797776,991.720458984375,14.5,144.5
2015226N12151,2015,60,GONI,2015-08-16 06:00:00,15.1,144.2,974.0,989.0753173828125,15.25,144.35024322446142,984.9503784179688,15.0,144.0
2015226N12151,2015,60,GONI,2015-08-16 12:00:00,15.5,143.6,970.0,989.80029296875,15.75,144.10006949270326,983.8361206054688,15.5,143.5
2015226N12151,2015,60,GONI,2015-08-16 18:00:00,16.0,142.7,956.0,986.7014770507812,16.0,143.0993745656706,979.3005981445312,16.0,143.0
2015226N12151,2015,60,GONI,2015-08-17 00:00:00,16.5,141.7,933.0,985.1748657226562,16.5,142.09867963863792,975.8428955078125,16.5,142.0
2015226N12151,2015,60,GONI,2015-08-17 06:00:00,17.0,140.5,937.0,982.9361572265625,17.0,141.5983321751216,969.8057250976562,17.0,140.5
2015226N12151,2015,60,GONI,2015-08-17 12:00:00,17.4,139.2,937.0,981.9675903320312,17.25,140.34746351633078,964.1234130859375,17.5,139.5
2015226N12151,2015,60,GONI,2015-08-17 18:00:00,17.8,137.7,937.0,982.2023315429688,18.0,138.84642112578177,962.7243041992188,18.0,138.0
2015226N12151,2015,60,GONI,2015-08-18 00:00:00,18.2,136.1,944.0,980.8130493164062,18.0,137.84572619874913,963.5764770507812,18.0,136.5
2015226N12151,2015,60,GONI,2015-08-18 06:00:00,18.6,134.6,944.0,979.2235107421875,18.25,136.09451007644196,955.0999145507812,18.5,135.0
2015226N12151,2015,60,GONI,2015-08-18 12:00:00,18.7,132.9,944.0,981.1329956054688,18.75,134.84364141765113,954.4996948242188,19.0,133.5
2015226N12151,2015,60,GONI,2015-08-18 18:00:00,18.8,131.2,948.0,978.0162353515625,19.0,133.092425295344,947.4745483398438,19.0,132.5
2015226N12151,2015,60,GONI,2015-08-19 00:00:00,18.8,129.8,948.0,981.6544799804688,19.25,131.84155663655315,942.4630737304688,19.5,131.0
2015226N12151,2015,60,GONI,2015-08-19 06:00:00,18.9,128.4,941.0,979.0670166015625,19.5,130.090340514246,940.878173828125,19.5,129.5
2015226N12151,2015,60,GONI,2015-08-19 12:00:00,18.9,127.3,933.0,978.9692993164062,19.5,128.33912439193884,944.02001953125,20.0,128.0
2015226N12151,2015,60,GONI,2015-08-19 18:00:00,18.9,126.1,937.0,979.983642578125,19.75,126.83808200138985,939.0543212890625,20.0,127.0
2015226N12151,2015,60,GONI,2015-08-20 00:00:00,18.9,125.3,937.0,979.8937377929688,19.75,126.08756080611535,936.493408203125,20.5,126.0
2015226N12151,2015,60,GONI,2015-08-20 06:00:00,18.9,124.7,941.0,977.81884765625,20.0,124.83669214732453,925.3001708984375,20.5,125.0
2015226N12151,2015,60,GONI,2015-08-20 12:00:00,19.0,124.0,944.0,979.208984375,19.75,124.08617095205003,922.5181884765625,20.5,124.5
2015226N12151,2015,60,GONI,2015-08-20 18:00:00,19.1,123.2,948.0,978.6757202148438,19.5,122.8353022932592,915.8358764648438,20.5,124.0
2015226N12151,2015,60,GONI,2015-08-21 00:00:00,19.2,122.9,952.0,979.2638549804688,19.25,122.0847810979847,920.7931518554688,20.5,123.5
2015226N12151,2015,60,GONI,2015-08-21 06:00:00,19.3,122.4,956.0,980.6035766601562,19.5,120.83391243919388,909.554443359375,21.0,123.5
2015226N12151,2015,60,GONI,2015-08-21 12:00:00,19.4,122.4,959.0,982.0317993164062,19.25,120.08339124391938,918.484375,21.5,123.0
2015226N12151,2015,60,GONI,2015-08-21 18:00:00,19.6,122.5,963.0,982.3323974609375,19.25,119.58304378040305,916.580322265625,22.0,123.0
2015226N12151,2015,60,GONI,2015-08-22 00:00:00,20.1,122.6,963.0,982.085693359375,19.25,119.08269631688671,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-22 06:00:00,20.7,122.7,963.0,981.4127197265625,19.75,118.83252258512856,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-22 12:00:00,21.4,123.1,967.0,980.1902465820312,20.0,118.83252258512856,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-22 18:00:00,22.3,123.2,970.0,979.4478759765625,21.0,119.08269631688671,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-23 00:00:00,23.2,123.3,963.0,981.7435302734375,21.25,118.83252258512856,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-23 06:00:00,23.8,123.5,956.0,982.5321044921875,22.0,118.83252258512856,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-23 12:00:00,24.5,124.0,944.0,985.3563842773438,22.5,119.08269631688671,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-23 18:00:00,25.2,124.6,937.0,984.6366577148438,23.0,119.33287004864488,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-24 00:00:00,26.2,125.9,937.0,988.318359375,23.5,119.83321751216121,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-24 06:00:00,27.9,127.4,937.0,988.2425537109375,25.25,121.08408617095205,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-24 12:00:00,29.6,128.8,941.0,989.27587890625,25.5,121.08408617095205,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-24 18:00:00,31.6,130.0,941.0,987.087890625,25.5,122.0847810979847,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-25 00:00:00,33.9,130.5,959.0,986.3381958007812,25.75,122.58512856150104,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-25 06:00:00,35.2,131.0,974.0,984.0323486328125,26.0,123.58582348853369,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-25 12:00:00,36.5,131.8,985.0,983.1328125,26.75,124.83669214732453,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-25 18:00:00,37.8,132.6,985.0,981.9603881835938,27.5,126.08756080611535,929.3320922851562,22.5,123.0
2015226N12151,2015,60,GONI,2015-08-26 00:00:00,39.1,133.5,989.0,982.8241577148438,28.5,127.8387769284225,929.3320922851562,22.5,123.0
