SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2012162N06150,2012,27,GUCHOL,2012-06-14 06:00:00,10.8,133.9,974.0,,10.8,133.9,1000.78662109375,10.5,133.5
2012162N06150,2012,27,GUCHOL,2012-06-14 12:00:00,10.7,132.8,970.0,,10.7,132.8,1000.78662109375,10.5,133.5
2012162N06150,2012,27,GUCHOL,2012-06-14 18:00:00,10.4,132.2,967.0,999.8057250976562,11.0,132.84225156358582,997.646240234375,10.5,132.5
2012162N06150,2012,27,GUCHOL,2012-06-15 00:00:00,10.3,131.5,959.0,999.7156372070312,11.25,132.09173036831132,998.0596923828125,11.0,132.5
2012162N06150,2012,27,GUCHOL,2012-06-15 06:00:00,10.6,131.2,959.0,997.2084350585938,11.75,131.34120917303682,996.9134521484375,11.5,132.0
2012162N06150,2012,27,GUCHOL,2012-06-15 12:00:00,11.2,130.9,956.0,998.7734985351562,12.0,130.59068797776231,997.5192260742188,12.0,132.0
2012162N06150,2012,27,GUCHOL,2012-06-15 18:00:00,11.9,130.5,948.0,996.740966796875,13.0,130.090340514246,996.7307739257812,13.0,131.0
2012162N06150,2012,27,GUCHOL,2012-06-16 00:00:00,12.9,130.2,948.0,998.03173828125,13.5,129.08964558721334,997.3735961914062,13.5,130.5
2012162N06150,2012,27,GUCHOL,2012-06-16 06:00:00,14.0,129.6,933.0,995.6759643554688,14.0,128.33912439193884,995.2980346679688,15.0,130.0
2012162N06150,2012,27,GUCHOL,2012-06-16 12:00:00,14.9,128.8,929.0,996.04248046875,15.0,128.08895066018067,996.8079833984375,15.5,129.0
2012162N06150,2012,27,GUCHOL,2012-06-16 18:00:00,16.2,128.4,926.0,995.6473388671875,16.0,127.33842946490617,996.9547729492188,16.5,128.5
2012162N06150,2012,27,GUCHOL,2012-06-17 00:00:00,17.3,127.6,926.0,996.0955200195312,17.0,126.83808200138985,997.1670532226562,17.5,127.5
2012162N06150,2012,27,GUCHOL,2012-06-17 06:00:00,18.3,127.3,926.0,994.46240234375,18.0,126.08756080611535,996.239990234375,18.5,127.0
2012162N06150,2012,27,GUCHOL,2012-06-17 12:00:00,19.7,127.0,929.0,995.3577270507812,19.0,126.08756080611535,997.2896118164062,19.5,126.5
2012162N06150,2012,27,GUCHOL,2012-06-17 18:00:00,20.9,127.1,933.0,994.6986694335938,20.25,126.08756080611535,994.846435546875,20.0,126.5
2012162N06150,2012,27,GUCHOL,2012-06-18 00:00:00,22.3,127.4,937.0,994.9269409179688,21.75,126.08756080611535,994.431884765625,21.0,127.0
2012162N06150,2012,27,GUCHOL,2012-06-18 06:00:00,23.8,127.9,948.0,994.4595336914062,23.0,126.08756080611535,993.9959106445312,22.5,127.0
2012162N06150,2012,27,GUCHOL,2012-06-18 12:00:00,25.3,128.7,952.0,994.753173828125,24.75,126.83808200138985,994.7959594726562,24.0,127.5
2012162N06150,2012,27,GUCHOL,2012-06-18 18:00:00,27.3,130.2,959.0,994.2681274414062,26.5,127.8387769284225,993.4346923828125,25.5,128.0
2012162N06150,2012,27,GUCHOL,2012-06-19 00:00:00,29.8,131.9,974.0,993.5133056640625,28.25,129.08964558721334,993.9843139648438,27.0,129.0
2012162N06150,2012,27,GUCHOL,2012-06-19 06:00:00,32.4,134.7,978.0,992.4397583007812,30.25,131.09103544127865,992.5285034179688,29.0,130.0
2012162N06150,2012,27,GUCHOL,2012-06-19 12:00:00,35.0,137.5,996.0,991.3984985351562,32.25,133.59277275886032,992.6871948242188,31.5,131.5
2012162N06150,2012,27,GUCHOL,2012-06-19 18:00:00,37.3,140.8,989.0,989.8961181640625,34.25,136.84503127171646,991.647216796875,35.0,134.0
2012162N06150,2012,27,GUCHOL,2012-06-20 00:00:00,38.2,143.0,996.0,994.406494140625,35.75,140.34746351633078,994.6436767578125,38.0,136.5
