SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2007291N19148,2007,74,KAJIKI,2007-10-19 00:00:00,19.1,144.0,996.0,,19.1,144.0,1007.0703735351562,20.0,143.5
2007291N19148,2007,74,KAJIKI,2007-10-19 06:00:00,19.8,142.9,985.0,1001.945068359375,20.5,142.34885337039609,1004.7452392578125,20.5,142.5
2007291N19148,2007,74,KAJIKI,2007-10-19 12:00:00,20.5,142.0,982.0,1002.9388427734375,21.0,141.34815844336345,1006.8966674804688,21.0,141.0
2007291N19148,2007,74,KAJIKI,2007-10-19 18:00:00,21.4,141.1,970.0,1000.0599365234375,21.5,140.8478109798471,1005.2734985351562,22.5,140.0
2007291N19148,2007,74,KAJIKI,2007-10-20 00:00:00,22.1,140.7,956.0,999.83642578125,22.5,140.0972897845726,1006.905517578125,23.0,139.5
2007291N19148,2007,74,KAJIKI,2007-10-20 06:00:00,23.3,140.6,944.0,997.2656860351562,23.75,140.0972897845726,1004.6036987304688,23.5,139.5
2007291N19148,2007,74,KAJIKI,2007-10-20 12:00:00,24.5,141.0,969.0,997.8479614257812,25.0,140.0972897845726,1006.7625732421875,24.5,139.5
2007291N19148,2007,74,KAJIKI,2007-10-20 18:00:00,26.0,142.1,937.0,997.045654296875,26.25,141.09798471160528,1005.520263671875,25.0,140.0
2007291N19148,2007,74,KAJIKI,2007-10-21 00:00:00,27.9,143.9,937.0,998.9861450195312,28.0,142.34885337039609,1008.5734252929688,27.5,142.0
2007291N19148,2007,74,KAJIKI,2007-10-21 06:00:00,29.9,146.3,937.0,998.0410766601562,29.5,144.35024322446142,1007.678955078125,29.0,144.0
2007291N19148,2007,74,KAJIKI,2007-10-21 12:00:00,32.1,149.3,956.0,1003.391357421875,31.25,147.10215427380123,1009.9326782226562,31.0,146.5
2007291N19148,2007,74,KAJIKI,2007-10-21 18:00:00,34.1,153.3,967.0,1004.2384643554688,33.0,150.60458651841554,1007.385009765625,32.0,147.5
2007291N19148,2007,74,KAJIKI,2007-10-22 00:00:00,35.4,157.6,985.0,1007.9829711914062,34.0,154.10701876302988,1009.6853637695312,33.0,149.0
2007291N19148,2007,74,KAJIKI,2007-10-22 06:00:00,36.2,162.0,985.0,1007.03466796875,34.75,157.35927727588603,1008.5286865234375,35.0,152.5
