SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2017288N09138,2017,87,LAN,2017-10-18 12:00:00,14.0,131.5,977.0,,14.0,131.5,977.031494140625,14.0,131.5
2017288N09138,2017,87,LAN,2017-10-18 18:00:00,14.7,130.9,970.0,977.6249389648438,15.0,131.09103544127865,965.481689453125,14.5,131.0
2017288N09138,2017,87,LAN,2017-10-19 00:00:00,15.4,130.3,967.0,978.8499145507812,15.75,130.59068797776231,963.7506103515625,15.5,131.0
2017288N09138,2017,87,LAN,2017-10-19 06:00:00,16.2,130.1,956.0,973.1353149414062,16.75,130.090340514246,955.9734497070312,16.5,130.5
2017288N09138,2017,87,LAN,2017-10-19 12:00:00,17.0,130.0,959.0,973.4905395507812,17.0,130.090340514246,960.2418823242188,17.0,130.0
2017288N09138,2017,87,LAN,2017-10-19 18:00:00,17.9,129.9,963.0,972.8119506835938,18.0,129.58999305072967,951.94970703125,18.0,129.5
2017288N09138,2017,87,LAN,2017-10-20 00:00:00,18.8,130.0,959.0,972.8555297851562,19.0,129.08964558721334,952.6614990234375,19.0,129.5
2017288N09138,2017,87,LAN,2017-10-20 06:00:00,19.7,130.0,952.0,970.3968505859375,19.75,128.83947185545517,949.04541015625,20.0,129.0
2017288N09138,2017,87,LAN,2017-10-20 12:00:00,20.1,130.2,937.0,970.0448608398438,20.0,128.83947185545517,946.4324340820312,20.5,129.0
2017288N09138,2017,87,LAN,2017-10-20 18:00:00,20.7,130.7,926.0,968.7545166015625,20.75,129.08964558721334,943.7014770507812,21.0,129.0
2017288N09138,2017,87,LAN,2017-10-21 00:00:00,21.3,131.2,926.0,970.4777221679688,21.0,129.08964558721334,943.6214599609375,22.0,129.5
2017288N09138,2017,87,LAN,2017-10-21 06:00:00,22.4,132.0,926.0,967.3836669921875,22.0,129.58999305072967,938.5617065429688,23.0,129.5
2017288N09138,2017,87,LAN,2017-10-21 12:00:00,23.8,132.5,922.0,966.96240234375,22.75,130.090340514246,937.20654296875,24.0,129.5
2017288N09138,2017,87,LAN,2017-10-21 18:00:00,25.5,133.2,926.0,967.8834228515625,23.0,130.090340514246,931.094970703125,24.5,129.5
2017288N09138,2017,87,LAN,2017-10-22 00:00:00,27.8,133.8,930.0,968.9520874023438,24.5,130.090340514246,931.0267333984375,25.5,129.5
2017288N09138,2017,87,LAN,2017-10-22 06:00:00,29.8,134.6,941.0,967.529541015625,25.0,130.59068797776231,926.7027587890625,26.0,129.5
2017288N09138,2017,87,LAN,2017-10-22 12:00:00,32.1,136.3,956.0,969.5836181640625,26.0,131.09103544127865,926.7771606445312,26.5,130.0
2017288N09138,2017,87,LAN,2017-10-22 18:00:00,34.7,138.2,970.0,969.2687377929688,27.0,132.09173036831132,925.658935546875,27.0,130.5
2017288N09138,2017,87,LAN,2017-10-23 00:00:00,37.3,141.5,982.0,972.7899169921875,28.0,132.84225156358582,928.146240234375,28.0,131.0
