SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013292N09162,2013,82,LEKIMA,2013-10-20 18:00:00,10.9,160.9,996.0,999.0887451171875,11.0,160.61153578874217,997.6297607421875,11.5,160.0
2013292N09162,2013,82,LEKIMA,2013-10-21 00:00:00,11.5,160.9,989.0,999.5114135742188,11.25,160.361362056984,995.3502197265625,11.5,160.0
2013292N09162,2013,82,LEKIMA,2013-10-21 06:00:00,12.2,160.6,985.0,996.126708984375,12.0,160.11118832522584,993.3695068359375,12.0,159.5
2013292N09162,2013,82,LEKIMA,2013-10-21 12:00:00,13.1,160.1,978.0,997.4383544921875,12.75,159.6108408617095,992.4671020507812,13.0,159.0
2013292N09162,2013,82,LEKIMA,2013-10-21 18:00:00,13.8,159.1,970.0,993.5669555664062,14.0,158.860319666435,988.4266967773438,14.0,158.5
2013292N09162,2013,82,LEKIMA,2013-10-22 00:00:00,15.1,158.2,956.0,995.001708984375,14.75,157.85962473940236,988.0938110351562,15.0,157.0
2013292N09162,2013,82,LEKIMA,2013-10-22 06:00:00,16.2,156.8,944.0,993.3477172851562,15.75,156.35858234885336,986.9874267578125,16.0,155.5
2013292N09162,2013,82,LEKIMA,2013-10-22 12:00:00,17.1,155.4,929.0,996.1068115234375,16.75,155.10771369006252,987.9100952148438,16.5,154.0
2013292N09162,2013,82,LEKIMA,2013-10-22 18:00:00,18.0,153.9,918.0,993.7872924804688,17.5,153.60667129951355,984.106201171875,17.5,153.0
2013292N09162,2013,82,LEKIMA,2013-10-23 00:00:00,18.6,152.2,918.0,994.404541015625,18.25,152.10562890896455,983.19482421875,18.0,151.5
2013292N09162,2013,82,LEKIMA,2013-10-23 06:00:00,19.0,150.9,922.0,991.7223510742188,18.75,150.35441278665738,975.996826171875,18.0,150.0
2013292N09162,2013,82,LEKIMA,2013-10-23 12:00:00,19.4,149.8,918.0,992.788818359375,19.25,149.10354412786657,973.2792358398438,18.5,148.5
2013292N09162,2013,82,LEKIMA,2013-10-23 18:00:00,19.9,148.7,918.0,990.7926025390625,19.5,147.85267546907573,968.275390625,19.0,147.5
2013292N09162,2013,82,LEKIMA,2013-10-24 00:00:00,20.6,147.6,922.0,991.4215698242188,20.25,146.1014593467686,969.0337524414062,19.5,146.5
2013292N09162,2013,82,LEKIMA,2013-10-24 06:00:00,21.4,146.5,926.0,989.6263427734375,20.75,145.10076441973592,968.183837890625,20.0,145.5
2013292N09162,2013,82,LEKIMA,2013-10-24 12:00:00,22.5,145.6,929.0,991.3990478515625,21.25,144.10006949270326,973.5470581054688,21.0,145.0
2013292N09162,2013,82,LEKIMA,2013-10-24 18:00:00,23.6,144.7,933.0,991.1038818359375,22.5,143.59972202918692,966.9927978515625,22.0,144.0
2013292N09162,2013,82,LEKIMA,2013-10-25 00:00:00,25.0,144.3,937.0,991.87060546875,24.0,142.84920083391242,969.977294921875,23.5,144.0
2013292N09162,2013,82,LEKIMA,2013-10-25 06:00:00,26.9,144.5,937.0,992.1347045898438,25.75,143.0993745656706,966.6614990234375,24.5,144.0
2013292N09162,2013,82,LEKIMA,2013-10-25 12:00:00,29.3,145.0,948.0,994.983642578125,28.0,144.10006949270326,957.6570434570312,26.0,144.0
2013292N09162,2013,82,LEKIMA,2013-10-25 18:00:00,31.7,146.7,952.0,996.16015625,30.5,145.60111188325226,963.1070556640625,28.0,145.0
2013292N09162,2013,82,LEKIMA,2013-10-26 00:00:00,34.4,149.1,967.0,996.57666015625,33.0,148.1028492008339,960.0440673828125,29.5,146.0
2013292N09162,2013,82,LEKIMA,2013-10-26 06:00:00,36.9,152.4,974.0,994.0621337890625,37.0,150.35441278665738,956.8743896484375,31.0,147.5
2013292N09162,2013,82,LEKIMA,2013-10-26 12:00:00,39.2,155.3,989.0,987.8558349609375,41.0,150.60458651841554,966.0731201171875,32.5,150.0
