SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019231N13135,2019,49,BAILU,2019-08-22 00:00:00,15.7,129.2,995.0
2019231N13135,2019,49,BAILU,2019-08-22 06:00:00,15.9,128.6,995.0
2019231N13135,2019,49,BAILU,2019-08-22 12:00:00,16.5,127.9,994.0
2019231N13135,2019,49,BAILU,2019-08-22 18:00:00,17.4,127.4,994.0
2019231N13135,2019,49,BAILU,2019-08-23 00:00:00,18.3,126.3,995.0
2019231N13135,2019,49,BAILU,2019-08-23 06:00:00,19.1,125.3,992.0
2019231N13135,2019,49,BAILU,2019-08-23 12:00:00,19.9,124.5,989.0
2019231N13135,2019,49,BAILU,2019-08-23 18:00:00,20.7,123.2,987.0
2019231N13135,2019,49,BAILU,2019-08-24 00:00:00,21.5,121.9,987.0
2019231N13135,2019,49,BAILU,2019-08-24 06:00:00,22.3,120.6,979.0
2019231N13135,2019,49,BAILU,2019-08-24 12:00:00,22.8,119.1,982.0
2019231N13135,2019,49,BAILU,2019-08-24 18:00:00,22.9,117.9,991.0
2019231N13135,2019,49,BAILU,2019-08-25 00:00:00,23.8,117.2,993.0
2019231N13135,2019,49,BAILU,2019-08-25 06:00:00,24.6,115.8,995.0
