SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019242N14180,2019,55,FAXAI,2019-09-05 00:00:00,19.1,156.1,998.0
2019242N14180,2019,55,FAXAI,2019-09-05 06:00:00,19.8,155.4,996.0
2019242N14180,2019,55,FAXAI,2019-09-05 12:00:00,20.7,154.4,994.0
2019242N14180,2019,55,FAXAI,2019-09-05 18:00:00,21.6,153.2,991.0
2019242N14180,2019,55,FAXAI,2019-09-06 00:00:00,22.6,151.7,988.0
2019242N14180,2019,55,FAXAI,2019-09-06 06:00:00,23.7,150.0,984.0
2019242N14180,2019,55,FAXAI,2019-09-06 12:00:00,24.7,148.1,984.0
2019242N14180,2019,55,FAXAI,2019-09-06 18:00:00,25.7,146.5,979.0
2019242N14180,2019,55,FAXAI,2019-09-07 00:00:00,26.7,145.0,968.0
2019242N14180,2019,55,FAXAI,2019-09-07 06:00:00,27.9,143.3,956.0
2019242N14180,2019,55,FAXAI,2019-09-07 12:00:00,28.9,141.8,948.0
2019242N14180,2019,55,FAXAI,2019-09-07 18:00:00,30.1,140.5,942.0
2019242N14180,2019,55,FAXAI,2019-09-08 00:00:00,31.5,139.5,942.0
2019242N14180,2019,55,FAXAI,2019-09-08 06:00:00,33.0,139.0,940.0
2019242N14180,2019,55,FAXAI,2019-09-08 12:00:00,34.1,139.0,952.0
2019242N14180,2019,55,FAXAI,2019-09-08 18:00:00,35.3,139.7,958.0
2019242N14180,2019,55,FAXAI,2019-09-09 00:00:00,36.3,141.0,982.0
2019242N14180,2019,55,FAXAI,2019-09-09 06:00:00,37.3,142.5,980.0
2019242N14180,2019,55,FAXAI,2019-09-09 12:00:00,38.3,144.3,986.0
2019242N14180,2019,55,FAXAI,2019-09-09 18:00:00,39.1,146.4,993.0
2019242N14180,2019,55,FAXAI,2019-09-10 00:00:00,39.8,148.6,992.0
2019242N14180,2019,55,FAXAI,2019-09-10 06:00:00,40.5,151.7,996.0
2019242N14180,2019,55,FAXAI,2019-09-10 12:00:00,41.5,154.9,998.0
2019242N14180,2019,55,FAXAI,2019-09-10 18:00:00,42.3,158.2,999.0
