SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019306N10162,2019,93,HALONG,2019-11-02 12:00:00,13.2,157.4,999.0
2019306N10162,2019,93,HALONG,2019-11-02 18:00:00,13.9,156.4,997.0
2019306N10162,2019,93,HALONG,2019-11-03 00:00:00,14.7,155.4,995.0
2019306N10162,2019,93,HALONG,2019-11-03 06:00:00,15.3,154.6,992.0
2019306N10162,2019,93,HALONG,2019-11-03 12:00:00,15.9,154.2,992.0
2019306N10162,2019,93,HALONG,2019-11-03 18:00:00,16.5,153.8,982.0
2019306N10162,2019,93,HALONG,2019-11-04 00:00:00,17.1,153.6,977.0
2019306N10162,2019,93,HALONG,2019-11-04 06:00:00,17.8,153.2,973.0
2019306N10162,2019,93,HALONG,2019-11-04 12:00:00,18.3,152.7,966.0
2019306N10162,2019,93,HALONG,2019-11-04 18:00:00,18.8,152.3,954.0
2019306N10162,2019,93,HALONG,2019-11-05 00:00:00,19.1,151.9,935.0
2019306N10162,2019,93,HALONG,2019-11-05 06:00:00,19.6,151.3,912.0
2019306N10162,2019,93,HALONG,2019-11-05 12:00:00,19.9,150.8,899.0
2019306N10162,2019,93,HALONG,2019-11-05 18:00:00,20.3,150.6,892.0
2019306N10162,2019,93,HALONG,2019-11-06 00:00:00,20.8,150.5,899.0
2019306N10162,2019,93,HALONG,2019-11-06 06:00:00,21.2,150.5,918.0
2019306N10162,2019,93,HALONG,2019-11-06 12:00:00,21.7,150.8,930.0
2019306N10162,2019,93,HALONG,2019-11-06 18:00:00,22.3,151.0,940.0
2019306N10162,2019,93,HALONG,2019-11-07 00:00:00,23.0,151.2,952.0
2019306N10162,2019,93,HALONG,2019-11-07 06:00:00,23.7,151.4,961.0
2019306N10162,2019,93,HALONG,2019-11-07 12:00:00,24.6,151.9,961.0
2019306N10162,2019,93,HALONG,2019-11-07 18:00:00,25.6,152.8,970.0
2019306N10162,2019,93,HALONG,2019-11-08 00:00:00,26.7,154.4,978.0
2019306N10162,2019,93,HALONG,2019-11-08 06:00:00,28.1,156.2,977.0
2019306N10162,2019,93,HALONG,2019-11-08 12:00:00,29.4,158.3,989.0
2019306N10162,2019,93,HALONG,2019-11-08 18:00:00,30.6,159.7,995.0
2019306N10162,2019,93,HALONG,2019-11-09 00:00:00,31.3,160.8,999.0
2019306N10162,2019,93,HALONG,2019-11-10 06:00:00,32.6,170.2,999.0
