SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019216N16147,2019,46,KROSA,2019-08-05 12:00:00,16.9,145.0,999.0
2019216N16147,2019,46,KROSA,2019-08-05 18:00:00,17.3,144.2,999.0
2019216N16147,2019,46,KROSA,2019-08-06 00:00:00,17.8,143.6,995.0
2019216N16147,2019,46,KROSA,2019-08-06 06:00:00,18.4,142.9,991.0
2019216N16147,2019,46,KROSA,2019-08-06 12:00:00,18.9,142.4,986.0
2019216N16147,2019,46,KROSA,2019-08-06 18:00:00,19.7,142.1,978.0
2019216N16147,2019,46,KROSA,2019-08-07 00:00:00,20.6,141.7,975.0
2019216N16147,2019,46,KROSA,2019-08-07 06:00:00,21.1,141.4,969.0
2019216N16147,2019,46,KROSA,2019-08-07 12:00:00,21.5,141.0,968.0
2019216N16147,2019,46,KROSA,2019-08-07 18:00:00,21.7,140.8,962.0
2019216N16147,2019,46,KROSA,2019-08-08 00:00:00,21.9,140.5,955.0
2019216N16147,2019,46,KROSA,2019-08-08 06:00:00,22.1,140.6,946.0
2019216N16147,2019,46,KROSA,2019-08-08 12:00:00,22.1,140.7,945.0
2019216N16147,2019,46,KROSA,2019-08-08 18:00:00,22.0,141.0,948.0
2019216N16147,2019,46,KROSA,2019-08-09 00:00:00,22.0,141.1,948.0
2019216N16147,2019,46,KROSA,2019-08-09 06:00:00,22.1,141.3,953.0
2019216N16147,2019,46,KROSA,2019-08-09 12:00:00,22.2,141.4,957.0
2019216N16147,2019,46,KROSA,2019-08-09 18:00:00,22.4,141.4,965.0
2019216N16147,2019,46,KROSA,2019-08-10 00:00:00,22.7,141.4,966.0
2019216N16147,2019,46,KROSA,2019-08-10 06:00:00,22.9,141.0,970.0
2019216N16147,2019,46,KROSA,2019-08-10 12:00:00,22.8,140.7,974.0
2019216N16147,2019,46,KROSA,2019-08-10 18:00:00,22.9,140.5,974.0
2019216N16147,2019,46,KROSA,2019-08-11 00:00:00,23.1,140.3,972.0
2019216N16147,2019,46,KROSA,2019-08-11 06:00:00,23.6,139.8,973.0
2019216N16147,2019,46,KROSA,2019-08-11 12:00:00,23.9,139.1,976.0
2019216N16147,2019,46,KROSA,2019-08-11 18:00:00,24.1,138.5,978.0
2019216N16147,2019,46,KROSA,2019-08-12 00:00:00,24.5,137.8,978.0
2019216N16147,2019,46,KROSA,2019-08-12 06:00:00,25.0,137.7,978.0
2019216N16147,2019,46,KROSA,2019-08-12 12:00:00,25.9,137.2,978.0
2019216N16147,2019,46,KROSA,2019-08-12 18:00:00,26.9,136.5,976.0
2019216N16147,2019,46,KROSA,2019-08-13 00:00:00,27.4,135.2,974.0
2019216N16147,2019,46,KROSA,2019-08-13 06:00:00,27.7,134.7,972.0
2019216N16147,2019,46,KROSA,2019-08-13 12:00:00,28.1,134.2,974.0
2019216N16147,2019,46,KROSA,2019-08-13 18:00:00,28.4,133.6,974.0
2019216N16147,2019,46,KROSA,2019-08-14 00:00:00,28.8,133.3,969.0
2019216N16147,2019,46,KROSA,2019-08-14 06:00:00,29.5,133.0,969.0
2019216N16147,2019,46,KROSA,2019-08-14 12:00:00,30.4,132.8,968.0
2019216N16147,2019,46,KROSA,2019-08-14 18:00:00,31.4,132.6,970.0
2019216N16147,2019,46,KROSA,2019-08-15 00:00:00,32.7,132.5,967.0
2019216N16147,2019,46,KROSA,2019-08-15 06:00:00,34.1,132.5,977.0
2019216N16147,2019,46,KROSA,2019-08-15 12:00:00,36.1,133.0,979.0
2019216N16147,2019,46,KROSA,2019-08-15 18:00:00,37.9,133.5,976.0
2019216N16147,2019,46,KROSA,2019-08-16 00:00:00,39.6,134.3,976.0
2019216N16147,2019,46,KROSA,2019-08-16 06:00:00,40.9,135.7,974.0
