SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018222N16147,2018,60,LEEPI,2018-08-11 06:00:00,19.1,143.9,996.0
2018222N16147,2018,60,LEEPI,2018-08-11 12:00:00,19.9,143.6,992.0
2018222N16147,2018,60,LEEPI,2018-08-11 18:00:00,20.8,143.2,992.0
2018222N16147,2018,60,LEEPI,2018-08-12 00:00:00,21.6,142.7,989.0
2018222N16147,2018,60,LEEPI,2018-08-12 06:00:00,22.7,142.0,986.0
2018222N16147,2018,60,LEEPI,2018-08-12 12:00:00,23.5,141.4,983.0
2018222N16147,2018,60,LEEPI,2018-08-12 18:00:00,24.5,140.6,982.0
2018222N16147,2018,60,LEEPI,2018-08-13 00:00:00,25.5,139.7,986.0
2018222N16147,2018,60,LEEPI,2018-08-13 06:00:00,26.4,138.6,989.0
2018222N16147,2018,60,LEEPI,2018-08-13 12:00:00,27.2,137.9,988.0
2018222N16147,2018,60,LEEPI,2018-08-13 18:00:00,28.3,137.1,990.0
2018222N16147,2018,60,LEEPI,2018-08-14 00:00:00,29.3,136.1,990.0
2018222N16147,2018,60,LEEPI,2018-08-14 06:00:00,30.5,134.8,993.0
2018222N16147,2018,60,LEEPI,2018-08-14 12:00:00,31.4,133.2,994.0
2018222N16147,2018,60,LEEPI,2018-08-14 18:00:00,32.4,131.4,996.0
2018222N16147,2018,60,LEEPI,2018-08-15 00:00:00,33.9,130.0,999.0
