SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019214N15134,2019,44,LEKIMA,2019-08-04 00:00:00,16.2,131.3,998.0
2019214N15134,2019,44,LEKIMA,2019-08-04 06:00:00,16.8,131.0,997.0
2019214N15134,2019,44,LEKIMA,2019-08-04 12:00:00,17.5,130.8,995.0
2019214N15134,2019,44,LEKIMA,2019-08-04 18:00:00,18.0,130.4,992.0
2019214N15134,2019,44,LEKIMA,2019-08-05 00:00:00,18.4,130.1,990.0
2019214N15134,2019,44,LEKIMA,2019-08-05 06:00:00,18.6,129.8,989.0
2019214N15134,2019,44,LEKIMA,2019-08-05 12:00:00,18.5,129.6,989.0
2019214N15134,2019,44,LEKIMA,2019-08-05 18:00:00,18.6,129.3,986.0
2019214N15134,2019,44,LEKIMA,2019-08-06 00:00:00,18.8,129.3,983.0
2019214N15134,2019,44,LEKIMA,2019-08-06 06:00:00,19.2,129.0,981.0
2019214N15134,2019,44,LEKIMA,2019-08-06 12:00:00,19.4,128.6,975.0
2019214N15134,2019,44,LEKIMA,2019-08-06 18:00:00,19.7,128.3,970.0
2019214N15134,2019,44,LEKIMA,2019-08-07 00:00:00,20.4,128.1,963.0
2019214N15134,2019,44,LEKIMA,2019-08-07 06:00:00,21.0,127.7,955.0
2019214N15134,2019,44,LEKIMA,2019-08-07 12:00:00,21.6,127.0,933.0
2019214N15134,2019,44,LEKIMA,2019-08-07 18:00:00,22.1,126.4,925.0
2019214N15134,2019,44,LEKIMA,2019-08-08 00:00:00,22.7,126.0,916.0
2019214N15134,2019,44,LEKIMA,2019-08-08 06:00:00,23.7,125.4,912.0
2019214N15134,2019,44,LEKIMA,2019-08-08 12:00:00,24.4,124.9,905.0
2019214N15134,2019,44,LEKIMA,2019-08-08 18:00:00,25.5,124.5,904.0
2019214N15134,2019,44,LEKIMA,2019-08-09 00:00:00,26.4,123.4,911.0
2019214N15134,2019,44,LEKIMA,2019-08-09 06:00:00,27.1,122.5,925.0
2019214N15134,2019,44,LEKIMA,2019-08-09 12:00:00,27.5,122.0,931.0
2019214N15134,2019,44,LEKIMA,2019-08-09 18:00:00,28.3,121.4,939.0
2019214N15134,2019,44,LEKIMA,2019-08-10 00:00:00,29.1,120.8,953.0
2019214N15134,2019,44,LEKIMA,2019-08-10 06:00:00,30.0,120.4,965.0
2019214N15134,2019,44,LEKIMA,2019-08-10 12:00:00,30.8,120.5,969.0
2019214N15134,2019,44,LEKIMA,2019-08-10 18:00:00,31.9,120.6,968.0
2019214N15134,2019,44,LEKIMA,2019-08-11 00:00:00,33.5,120.4,977.0
2019214N15134,2019,44,LEKIMA,2019-08-11 06:00:00,34.9,119.9,984.0
2019214N15134,2019,44,LEKIMA,2019-08-11 12:00:00,36.0,120.1,982.0
2019214N15134,2019,44,LEKIMA,2019-08-11 18:00:00,37.1,119.9,980.0
