SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019243N06136,2019,57,LINGLING,2019-09-02 18:00:00,19.0,124.0,998.0
2019243N06136,2019,57,LINGLING,2019-09-03 00:00:00,19.8,123.9,994.0
2019243N06136,2019,57,LINGLING,2019-09-03 06:00:00,20.7,124.0,983.0
2019243N06136,2019,57,LINGLING,2019-09-03 12:00:00,21.3,124.2,979.0
2019243N06136,2019,57,LINGLING,2019-09-03 18:00:00,21.8,124.4,979.0
2019243N06136,2019,57,LINGLING,2019-09-04 00:00:00,22.1,124.6,971.0
2019243N06136,2019,57,LINGLING,2019-09-04 06:00:00,22.4,125.0,965.0
2019243N06136,2019,57,LINGLING,2019-09-04 12:00:00,23.0,125.4,961.0
2019243N06136,2019,57,LINGLING,2019-09-04 18:00:00,23.6,125.4,947.0
2019243N06136,2019,57,LINGLING,2019-09-05 00:00:00,24.2,125.3,930.0
2019243N06136,2019,57,LINGLING,2019-09-05 06:00:00,25.0,125.3,934.0
2019243N06136,2019,57,LINGLING,2019-09-05 12:00:00,25.7,125.2,931.0
2019243N06136,2019,57,LINGLING,2019-09-05 18:00:00,26.8,125.2,928.0
2019243N06136,2019,57,LINGLING,2019-09-06 00:00:00,28.1,125.1,935.0
2019243N06136,2019,57,LINGLING,2019-09-06 06:00:00,29.6,125.2,936.0
2019243N06136,2019,57,LINGLING,2019-09-06 12:00:00,31.3,125.1,944.0
2019243N06136,2019,57,LINGLING,2019-09-06 18:00:00,33.5,124.9,951.0
2019243N06136,2019,57,LINGLING,2019-09-07 00:00:00,35.7,124.8,962.0
2019243N06136,2019,57,LINGLING,2019-09-07 06:00:00,37.9,125.2,969.0
2019243N06136,2019,57,LINGLING,2019-09-07 12:00:00,40.8,126.4,977.0
2019243N06136,2019,57,LINGLING,2019-09-07 18:00:00,44.4,128.4,992.0
