SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019182N18114,2019,32,MUN,2019-07-01 18:00:00,18.1,113.7,999.0
2019182N18114,2019,32,MUN,2019-07-02 00:00:00,18.4,113.3,999.0
2019182N18114,2019,32,MUN,2019-07-02 06:00:00,18.7,112.4,999.0
2019182N18114,2019,32,MUN,2019-07-02 12:00:00,18.8,111.4,999.0
2019182N18114,2019,32,MUN,2019-07-02 18:00:00,18.9,110.4,999.0
2019182N18114,2019,32,MUN,2019-07-03 00:00:00,19.0,109.2,997.0
2019182N18114,2019,32,MUN,2019-07-03 06:00:00,19.1,108.3,993.0
2019182N18114,2019,32,MUN,2019-07-03 12:00:00,19.7,107.5,992.0
2019182N18114,2019,32,MUN,2019-07-03 18:00:00,20.2,106.8,995.0
2019182N18114,2019,32,MUN,2019-07-04 00:00:00,20.6,106.2,996.0
2019182N18114,2019,32,MUN,2019-07-04 06:00:00,21.5,105.4,998.0
