SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018263N12146,2018,82,TRAMI,2018-09-21 18:00:00,15.7,141.6,996.0
2018263N12146,2018,82,TRAMI,2018-09-22 00:00:00,16.1,140.3,994.0
2018263N12146,2018,82,TRAMI,2018-09-22 06:00:00,16.6,138.9,992.0
2018263N12146,2018,82,TRAMI,2018-09-22 12:00:00,16.9,137.7,989.0
2018263N12146,2018,82,TRAMI,2018-09-22 18:00:00,16.9,136.2,982.0
2018263N12146,2018,82,TRAMI,2018-09-23 00:00:00,17.0,135.1,975.0
2018263N12146,2018,82,TRAMI,2018-09-23 06:00:00,17.3,134.2,958.0
2018263N12146,2018,82,TRAMI,2018-09-23 12:00:00,17.5,133.3,944.0
2018263N12146,2018,82,TRAMI,2018-09-23 18:00:00,18.1,132.2,938.0
2018263N12146,2018,82,TRAMI,2018-09-24 00:00:00,18.5,131.3,933.0
2018263N12146,2018,82,TRAMI,2018-09-24 06:00:00,18.9,130.4,927.0
2018263N12146,2018,82,TRAMI,2018-09-24 12:00:00,19.3,129.7,920.0
2018263N12146,2018,82,TRAMI,2018-09-24 18:00:00,19.6,129.1,914.0
2018263N12146,2018,82,TRAMI,2018-09-25 00:00:00,19.6,128.7,919.0
2018263N12146,2018,82,TRAMI,2018-09-25 06:00:00,19.8,128.8,921.0
2018263N12146,2018,82,TRAMI,2018-09-25 12:00:00,20.0,128.9,930.0
2018263N12146,2018,82,TRAMI,2018-09-25 18:00:00,20.3,128.9,943.0
2018263N12146,2018,82,TRAMI,2018-09-26 00:00:00,20.6,129.0,942.0
2018263N12146,2018,82,TRAMI,2018-09-26 06:00:00,21.0,129.2,952.0
2018263N12146,2018,82,TRAMI,2018-09-26 12:00:00,21.3,129.2,954.0
2018263N12146,2018,82,TRAMI,2018-09-26 18:00:00,21.4,129.2,953.0
2018263N12146,2018,82,TRAMI,2018-09-27 00:00:00,21.5,129.1,955.0
2018263N12146,2018,82,TRAMI,2018-09-27 06:00:00,21.7,129.0,952.0
2018263N12146,2018,82,TRAMI,2018-09-27 12:00:00,21.9,128.8,951.0
2018263N12146,2018,82,TRAMI,2018-09-27 18:00:00,22.2,128.4,953.0
2018263N12146,2018,82,TRAMI,2018-09-28 00:00:00,22.5,127.9,951.0
2018263N12146,2018,82,TRAMI,2018-09-28 06:00:00,23.1,127.4,949.0
2018263N12146,2018,82,TRAMI,2018-09-28 12:00:00,23.8,127.0,949.0
2018263N12146,2018,82,TRAMI,2018-09-28 18:00:00,24.6,126.7,951.0
2018263N12146,2018,82,TRAMI,2018-09-29 00:00:00,25.4,126.8,954.0
2018263N12146,2018,82,TRAMI,2018-09-29 06:00:00,26.4,127.4,952.0
2018263N12146,2018,82,TRAMI,2018-09-29 12:00:00,27.8,128.4,953.0
2018263N12146,2018,82,TRAMI,2018-09-29 18:00:00,29.1,129.4,957.0
2018263N12146,2018,82,TRAMI,2018-09-30 00:00:00,30.5,130.9,959.0
2018263N12146,2018,82,TRAMI,2018-09-30 06:00:00,32.3,133.0,960.0
2018263N12146,2018,82,TRAMI,2018-09-30 12:00:00,34.3,136.0,959.0
2018263N12146,2018,82,TRAMI,2018-09-30 18:00:00,37.4,140.1,964.0
2018263N12146,2018,82,TRAMI,2018-10-01 00:00:00,41.4,144.3,967.0
