SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018218N18134,2018,56,YAGI,2018-08-06 06:00:00,18.5,133.9,997.0
2018218N18134,2018,56,YAGI,2018-08-06 12:00:00,18.7,133.7,998.0
2018218N18134,2018,56,YAGI,2018-08-06 18:00:00,18.9,133.4,998.0
2018218N18134,2018,56,YAGI,2018-08-07 00:00:00,19.0,133.1,995.0
2018218N18134,2018,56,YAGI,2018-08-07 06:00:00,19.0,132.7,998.0
2018218N18134,2018,56,YAGI,2018-08-07 12:00:00,19.0,132.5,995.0
2018218N18134,2018,56,YAGI,2018-08-07 18:00:00,19.1,132.5,995.0
2018218N18134,2018,56,YAGI,2018-08-08 00:00:00,19.2,132.5,996.0
2018218N18134,2018,56,YAGI,2018-08-08 06:00:00,19.5,133.4,993.0
2018218N18134,2018,56,YAGI,2018-08-08 12:00:00,19.9,134.0,995.0
2018218N18134,2018,56,YAGI,2018-08-08 18:00:00,20.6,134.1,995.0
2018218N18134,2018,56,YAGI,2018-08-09 00:00:00,20.9,133.7,994.0
2018218N18134,2018,56,YAGI,2018-08-09 06:00:00,20.9,133.4,993.0
2018218N18134,2018,56,YAGI,2018-08-09 12:00:00,21.1,133.4,991.0
2018218N18134,2018,56,YAGI,2018-08-09 18:00:00,22.1,133.0,991.0
2018218N18134,2018,56,YAGI,2018-08-10 00:00:00,22.8,132.2,996.0
2018218N18134,2018,56,YAGI,2018-08-10 06:00:00,22.8,132.0,993.0
2018218N18134,2018,56,YAGI,2018-08-10 12:00:00,23.3,131.9,992.0
2018218N18134,2018,56,YAGI,2018-08-10 18:00:00,24.3,130.9,994.0
2018218N18134,2018,56,YAGI,2018-08-11 00:00:00,25.0,129.6,994.0
2018218N18134,2018,56,YAGI,2018-08-11 06:00:00,25.0,128.1,992.0
2018218N18134,2018,56,YAGI,2018-08-11 12:00:00,25.0,126.8,989.0
2018218N18134,2018,56,YAGI,2018-08-11 18:00:00,25.2,125.6,993.0
2018218N18134,2018,56,YAGI,2018-08-12 00:00:00,25.6,124.7,986.0
2018218N18134,2018,56,YAGI,2018-08-12 06:00:00,26.6,123.7,993.0
2018218N18134,2018,56,YAGI,2018-08-12 12:00:00,27.7,122.2,983.0
2018218N18134,2018,56,YAGI,2018-08-12 18:00:00,29.0,120.8,996.0
2018218N18134,2018,56,YAGI,2018-08-13 00:00:00,30.7,119.2,993.0
