SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2018229N11160,2018,66,CIMARON,2018-08-18 18:00:00,14.6,153.0,996.0,998.8607177734375,15.0,153.10632383599722,995.7738037109375,14.5,153.0
2018229N11160,2018,66,CIMARON,2018-08-19 00:00:00,15.0,152.2,996.0,999.7916259765625,15.5,152.10562890896455,997.623046875,15.5,152.0
2018229N11160,2018,66,CIMARON,2018-08-19 06:00:00,15.6,151.3,994.0,998.0917358398438,16.5,151.35510771369005,995.912109375,16.5,151.0
2018229N11160,2018,66,CIMARON,2018-08-19 12:00:00,15.9,150.5,989.0,999.8326416015625,17.0,149.85406532314107,998.2054443359375,17.5,150.0
2018229N11160,2018,66,CIMARON,2018-08-19 18:00:00,16.5,149.9,984.0,997.193603515625,17.25,148.8533703961084,995.11328125,18.0,148.5
2018229N11160,2018,66,CIMARON,2018-08-20 00:00:00,17.0,149.1,984.0,998.1378784179688,17.5,147.85267546907573,995.5718994140625,18.0,147.5
2018229N11160,2018,66,CIMARON,2018-08-20 06:00:00,17.6,148.1,979.0,995.9478149414062,18.0,146.85198054204307,994.21142578125,19.5,146.5
2018229N11160,2018,66,CIMARON,2018-08-20 12:00:00,18.3,147.3,976.0,996.6513061523438,18.5,146.1014593467686,995.8787231445312,20.0,145.5
2018229N11160,2018,66,CIMARON,2018-08-20 18:00:00,19.2,146.3,978.0,993.49853515625,19.0,146.1014593467686,993.6074829101562,20.0,144.5
2018229N11160,2018,66,CIMARON,2018-08-21 00:00:00,20.1,145.1,972.0,993.1603393554688,20.0,144.85059068797776,991.6377563476562,21.0,144.0
2018229N11160,2018,66,CIMARON,2018-08-21 06:00:00,21.2,144.1,964.0,988.3624877929688,20.75,144.10006949270326,991.881591796875,22.0,143.5
2018229N11160,2018,66,CIMARON,2018-08-21 12:00:00,21.9,142.8,959.0,988.1857299804688,21.5,143.0993745656706,993.4703369140625,22.5,142.5
2018229N11160,2018,66,CIMARON,2018-08-21 18:00:00,23.1,141.3,950.0,986.0446166992188,22.75,141.34815844336345,991.3630981445312,24.0,142.0
2018229N11160,2018,66,CIMARON,2018-08-22 00:00:00,24.2,139.9,936.0,986.9760131835938,23.5,140.0972897845726,992.3399047851562,25.0,140.0
2018229N11160,2018,66,CIMARON,2018-08-22 06:00:00,25.5,138.8,940.0,985.8788452148438,24.75,138.5962473940236,987.829833984375,26.0,139.0
2018229N11160,2018,66,CIMARON,2018-08-22 12:00:00,26.9,137.3,948.0,987.3322143554688,25.75,137.09520500347463,989.127197265625,27.0,138.0
2018229N11160,2018,66,CIMARON,2018-08-22 18:00:00,28.4,135.9,955.0,987.2267456054688,27.0,135.34398888116746,987.2718505859375,28.5,137.0
2018229N11160,2018,66,CIMARON,2018-08-23 00:00:00,29.9,135.0,960.0,988.8970336914062,28.5,134.09312022237663,988.7171630859375,30.5,136.0
2018229N11160,2018,66,CIMARON,2018-08-23 06:00:00,31.8,134.4,962.0,988.2743530273438,30.0,132.34190410006948,989.082275390625,32.0,135.0
2018229N11160,2018,66,CIMARON,2018-08-23 12:00:00,33.7,134.6,963.0,993.635986328125,31.25,131.59138290479498,987.92333984375,34.0,135.0
2018229N11160,2018,66,CIMARON,2018-08-23 18:00:00,36.5,135.1,971.0,993.8630981445312,33.75,130.090340514246,992.9935913085938,36.5,135.5
2018229N11160,2018,66,CIMARON,2018-08-24 00:00:00,39.0,136.0,984.0,996.207763671875,35.75,130.090340514246,990.3987426757812,39.0,136.5
2018229N11160,2018,66,CIMARON,2018-08-24 06:00:00,40.7,137.7,982.0,995.7667846679688,38.0,130.090340514246,992.2825927734375,40.0,139.0
2018229N11160,2018,66,CIMARON,2018-08-24 12:00:00,41.6,139.9,984.0,998.6637573242188,39.25,130.59068797776231,999.81005859375,40.5,142.0
