SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2019242N14180,2019,55,FAXAI,2019-09-05 00:00:00,19.1,156.1,998.0,,19.1,156.1,1005.1468505859375,19.5,156.0
2019242N14180,2019,55,FAXAI,2019-09-05 06:00:00,19.8,155.4,996.0,1003.606689453125,20.5,154.85753995830436,1001.7237548828125,20.0,155.0
2019242N14180,2019,55,FAXAI,2019-09-05 12:00:00,20.7,154.4,994.0,1004.3998413085938,21.0,153.35649756775538,1002.547607421875,21.0,153.5
2019242N14180,2019,55,FAXAI,2019-09-05 18:00:00,21.6,153.2,991.0,1002.2341918945312,21.5,152.10562890896455,999.9100952148438,21.5,152.5
2019242N14180,2019,55,FAXAI,2019-09-06 00:00:00,22.6,151.7,988.0,1002.9851684570312,22.25,150.60458651841554,1000.597412109375,22.5,150.5
2019242N14180,2019,55,FAXAI,2019-09-06 06:00:00,23.7,150.0,984.0,1000.7274169921875,23.0,149.35371785962474,996.782470703125,23.0,149.0
2019242N14180,2019,55,FAXAI,2019-09-06 12:00:00,24.7,148.1,984.0,1002.2709350585938,23.75,147.60250173731757,999.2427978515625,24.0,147.5
2019242N14180,2019,55,FAXAI,2019-09-06 18:00:00,25.7,146.5,979.0,1000.4224853515625,25.0,146.1014593467686,997.1322631835938,24.5,146.0
2019242N14180,2019,55,FAXAI,2019-09-07 00:00:00,26.7,145.0,968.0,999.6423950195312,26.25,144.10006949270326,997.83984375,26.0,144.5
2019242N14180,2019,55,FAXAI,2019-09-07 06:00:00,27.9,143.3,956.0,998.2650146484375,27.25,142.34885337039609,994.1124877929688,27.0,143.0
2019242N14180,2019,55,FAXAI,2019-09-07 12:00:00,28.9,141.8,948.0,999.816650390625,28.0,140.8478109798471,996.53076171875,28.0,141.5
2019242N14180,2019,55,FAXAI,2019-09-07 18:00:00,30.1,140.5,942.0,998.1889038085938,29.75,139.3467685892981,996.6248168945312,29.5,140.0
2019242N14180,2019,55,FAXAI,2019-09-08 00:00:00,31.5,139.5,942.0,998.4503173828125,31.25,138.0958999305073,996.2228393554688,30.5,139.0
2019242N14180,2019,55,FAXAI,2019-09-08 06:00:00,33.0,139.0,940.0,998.9085083007812,32.75,137.59555246699097,993.932373046875,32.0,138.5
2019242N14180,2019,55,FAXAI,2019-09-08 12:00:00,34.1,139.0,952.0,1002.9453125,34.5,137.59555246699097,990.2399291992188,33.5,138.0
2019242N14180,2019,55,FAXAI,2019-09-08 18:00:00,35.3,139.7,958.0,1004.3084106445312,37.5,139.09659485753994,995.3529052734375,34.5,138.5
2019242N14180,2019,55,FAXAI,2019-09-09 00:00:00,36.3,141.0,982.0,1004.957275390625,38.25,141.09798471160528,996.0435180664062,36.0,139.5
2019242N14180,2019,55,FAXAI,2019-09-09 06:00:00,37.3,142.5,980.0,1003.5923461914062,39.5,143.59972202918692,996.1748657226562,37.0,141.5
2019242N14180,2019,55,FAXAI,2019-09-09 12:00:00,38.3,144.3,986.0,1004.3939819335938,40.75,146.6018068102849,997.4606323242188,38.0,143.0
2019242N14180,2019,55,FAXAI,2019-09-09 18:00:00,39.1,146.4,993.0,1002.1825561523438,41.75,149.35371785962474,992.3211059570312,38.5,145.0
2019242N14180,2019,55,FAXAI,2019-09-10 00:00:00,39.8,148.6,992.0,1002.2228393554688,42.75,152.35580264072271,993.94775390625,39.0,147.0
2019242N14180,2019,55,FAXAI,2019-09-10 06:00:00,40.5,151.7,996.0,1001.169677734375,43.75,155.60806115357886,994.817626953125,39.5,148.5
2019242N14180,2019,55,FAXAI,2019-09-10 12:00:00,41.5,154.9,998.0,1002.0410766601562,45.25,159.11049339819317,996.8934936523438,40.0,150.5
2019242N14180,2019,55,FAXAI,2019-09-10 18:00:00,42.3,158.2,999.0,1002.3692016601562,47.0,162.61292564280748,994.8685302734375,41.0,152.5
