SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2006188N10143,2006,32,BILIS,2006-07-11 06:00:00,19.0,129.0,991.0
2006188N10143,2006,32,BILIS,2006-07-11 12:00:00,19.6,128.2,991.0
2006188N10143,2006,32,BILIS,2006-07-11 18:00:00,20.2,127.0,991.0
2006188N10143,2006,32,BILIS,2006-07-12 00:00:00,20.9,126.1,991.0
2006188N10143,2006,32,BILIS,2006-07-12 06:00:00,21.4,125.4,994.0
2006188N10143,2006,32,BILIS,2006-07-12 12:00:00,21.9,124.6,994.0
2006188N10143,2006,32,BILIS,2006-07-12 18:00:00,22.3,124.2,994.0
2006188N10143,2006,32,BILIS,2006-07-13 00:00:00,23.1,123.7,991.0
2006188N10143,2006,32,BILIS,2006-07-13 06:00:00,23.8,123.2,991.0
2006188N10143,2006,32,BILIS,2006-07-13 12:00:00,24.6,122.5,991.0
2006188N10143,2006,32,BILIS,2006-07-13 18:00:00,25.2,121.3,991.0
2006188N10143,2006,32,BILIS,2006-07-14 00:00:00,25.6,120.5,991.0
2006188N10143,2006,32,BILIS,2006-07-14 06:00:00,26.4,119.5,994.0
2006188N10143,2006,32,BILIS,2006-07-14 12:00:00,26.9,117.9,997.0
