SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021248N11131,2021,71,CONSON,2021-09-05 18:00:00,10.0,128.6,996.0
2021248N11131,2021,71,CONSON,2021-09-06 00:00:00,10.3,127.8,996.0
2021248N11131,2021,71,CONSON,2021-09-06 06:00:00,10.8,126.8,992.0
2021248N11131,2021,71,CONSON,2021-09-06 12:00:00,11.2,126.0,980.0
2021248N11131,2021,71,CONSON,2021-09-06 18:00:00,11.6,124.9,991.0
2021248N11131,2021,71,CONSON,2021-09-07 00:00:00,12.0,124.2,993.0
2021248N11131,2021,71,CONSON,2021-09-07 06:00:00,12.4,123.5,994.0
2021248N11131,2021,71,CONSON,2021-09-07 12:00:00,12.9,122.8,992.0
2021248N11131,2021,71,CONSON,2021-09-07 18:00:00,13.3,122.0,989.0
2021248N11131,2021,71,CONSON,2021-09-08 00:00:00,13.7,121.5,989.0
2021248N11131,2021,71,CONSON,2021-09-08 06:00:00,14.2,120.7,991.0
2021248N11131,2021,71,CONSON,2021-09-08 12:00:00,14.8,120.1,998.0
2021248N11131,2021,71,CONSON,2021-09-08 18:00:00,15.3,119.1,997.0
2021248N11131,2021,71,CONSON,2021-09-09 00:00:00,15.5,118.1,999.0
2021248N11131,2021,71,CONSON,2021-09-09 12:00:00,15.9,115.1,999.0
2021248N11131,2021,71,CONSON,2021-09-09 18:00:00,15.8,114.0,996.0
2021248N11131,2021,71,CONSON,2021-09-10 00:00:00,15.7,112.9,997.0
2021248N11131,2021,71,CONSON,2021-09-10 06:00:00,15.7,112.2,996.0
