SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2010256N17137,2010,59,FANAPI,2010-09-16 18:00:00,22.2,128.4,970.0
2010256N17137,2010,59,FANAPI,2010-09-17 00:00:00,22.4,128.3,967.0
2010256N17137,2010,59,FANAPI,2010-09-17 06:00:00,22.8,128.1,963.0
2010256N17137,2010,59,FANAPI,2010-09-17 12:00:00,23.1,127.7,959.0
2010256N17137,2010,59,FANAPI,2010-09-17 18:00:00,23.3,126.8,956.0
2010256N17137,2010,59,FANAPI,2010-09-18 00:00:00,23.4,126.1,948.0
2010256N17137,2010,59,FANAPI,2010-09-18 06:00:00,23.8,125.3,944.0
2010256N17137,2010,59,FANAPI,2010-09-18 12:00:00,23.9,124.3,944.0
2010256N17137,2010,59,FANAPI,2010-09-18 18:00:00,24.0,123.1,944.0
2010256N17137,2010,59,FANAPI,2010-09-19 00:00:00,23.7,121.7,944.0
2010256N17137,2010,59,FANAPI,2010-09-19 06:00:00,23.1,120.7,967.0
2010256N17137,2010,59,FANAPI,2010-09-19 12:00:00,23.3,119.8,970.0
2010256N17137,2010,59,FANAPI,2010-09-19 18:00:00,23.5,118.9,970.0
2010256N17137,2010,59,FANAPI,2010-09-20 00:00:00,23.6,117.4,974.0
2010256N17137,2010,59,FANAPI,2010-09-20 06:00:00,23.5,116.1,985.0
2010256N17137,2010,59,FANAPI,2010-09-20 12:00:00,23.8,114.9,993.0
