SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024202N14130,2024,31,GAEMI,2024-07-22 00:00:00,17.6,125.9,991.0
2024202N14130,2024,31,GAEMI,2024-07-22 06:00:00,18.2,125.7,986.0
2024202N14130,2024,31,GAEMI,2024-07-22 12:00:00,18.4,125.4,984.0
2024202N14130,2024,31,GAEMI,2024-07-22 18:00:00,18.4,124.8,977.0
2024202N14130,2024,31,GAEMI,2024-07-23 00:00:00,20.0,124.9,973.0
2024202N14130,2024,31,GAEMI,2024-07-23 06:00:00,20.6,125.1,959.0
2024202N14130,2024,31,GAEMI,2024-07-23 12:00:00,21.9,124.5,952.0
2024202N14130,2024,31,GAEMI,2024-07-23 18:00:00,22.8,123.5,948.0
2024202N14130,2024,31,GAEMI,2024-07-24 00:00:00,23.5,123.3,935.0
2024202N14130,2024,31,GAEMI,2024-07-24 06:00:00,24.2,122.5,919.0
2024202N14130,2024,31,GAEMI,2024-07-24 12:00:00,23.7,121.7,928.0
2024202N14130,2024,31,GAEMI,2024-07-24 18:00:00,24.7,121.4,945.0
2024202N14130,2024,31,GAEMI,2024-07-25 00:00:00,25.1,120.2,961.0
2024202N14130,2024,31,GAEMI,2024-07-25 06:00:00,25.2,119.8,964.0
2024202N14130,2024,31,GAEMI,2024-07-25 12:00:00,25.6,119.4,973.0
2024202N14130,2024,31,GAEMI,2024-07-25 18:00:00,25.6,118.6,978.0
