SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2014334N02156,2014,86,HAGUPIT,2014-12-04 12:00:00,11.0,131.3,911.0
2014334N02156,2014,86,HAGUPIT,2014-12-04 18:00:00,11.4,130.4,914.0
2014334N02156,2014,86,HAGUPIT,2014-12-05 00:00:00,11.7,129.7,918.0
2014334N02156,2014,86,HAGUPIT,2014-12-05 06:00:00,11.9,129.0,922.0
2014334N02156,2014,86,HAGUPIT,2014-12-05 12:00:00,12.0,128.5,926.0
2014334N02156,2014,86,HAGUPIT,2014-12-05 18:00:00,12.0,128.0,929.0
2014334N02156,2014,86,HAGUPIT,2014-12-06 00:00:00,12.0,127.4,933.0
2014334N02156,2014,86,HAGUPIT,2014-12-06 06:00:00,12.1,126.6,937.0
2014334N02156,2014,86,HAGUPIT,2014-12-06 12:00:00,12.0,125.9,941.0
2014334N02156,2014,86,HAGUPIT,2014-12-06 18:00:00,11.9,125.3,948.0
2014334N02156,2014,86,HAGUPIT,2014-12-07 00:00:00,11.9,124.7,956.0
2014334N02156,2014,86,HAGUPIT,2014-12-07 06:00:00,12.2,124.1,959.0
2014334N02156,2014,86,HAGUPIT,2014-12-07 12:00:00,12.5,123.6,967.0
2014334N02156,2014,86,HAGUPIT,2014-12-07 18:00:00,12.9,123.1,974.0
2014334N02156,2014,86,HAGUPIT,2014-12-08 00:00:00,13.3,122.5,978.0
2014334N02156,2014,86,HAGUPIT,2014-12-08 06:00:00,13.6,121.9,985.0
2014334N02156,2014,86,HAGUPIT,2014-12-08 12:00:00,13.8,121.3,985.0
2014334N02156,2014,86,HAGUPIT,2014-12-08 18:00:00,13.8,120.9,993.0
2014334N02156,2014,86,HAGUPIT,2014-12-09 00:00:00,13.7,120.5,993.0
2014334N02156,2014,86,HAGUPIT,2014-12-09 06:00:00,13.5,119.6,993.0
2014334N02156,2014,86,HAGUPIT,2014-12-09 12:00:00,13.5,118.7,993.0
2014334N02156,2014,86,HAGUPIT,2014-12-09 18:00:00,13.5,117.7,989.0
2014334N02156,2014,86,HAGUPIT,2014-12-10 00:00:00,13.6,116.9,989.0
2014334N02156,2014,86,HAGUPIT,2014-12-10 06:00:00,13.7,116.1,989.0
2014334N02156,2014,86,HAGUPIT,2014-12-10 12:00:00,13.7,115.2,996.0
