SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2013306N07162,2013,89,HAIYAN,2013-11-06 00:00:00,7.3,139.7,926.0
2013306N07162,2013,89,HAIYAN,2013-11-06 06:00:00,7.6,138.0,922.0
2013306N07162,2013,89,HAIYAN,2013-11-06 12:00:00,7.9,136.2,911.0
2013306N07162,2013,89,HAIYAN,2013-11-06 18:00:00,8.2,134.4,907.0
2013306N07162,2013,89,HAIYAN,2013-11-07 00:00:00,8.7,132.8,907.0
2013306N07162,2013,89,HAIYAN,2013-11-07 06:00:00,9.3,131.1,903.0
2013306N07162,2013,89,HAIYAN,2013-11-07 12:00:00,10.2,129.1,895.0
2013306N07162,2013,89,HAIYAN,2013-11-07 18:00:00,10.6,126.9,895.0
2013306N07162,2013,89,HAIYAN,2013-11-08 00:00:00,11.0,124.8,899.0
2013306N07162,2013,89,HAIYAN,2013-11-08 06:00:00,11.4,122.6,914.0
2013306N07162,2013,89,HAIYAN,2013-11-08 12:00:00,11.9,120.5,926.0
2013306N07162,2013,89,HAIYAN,2013-11-08 18:00:00,12.3,118.0,933.0
2013306N07162,2013,89,HAIYAN,2013-11-09 00:00:00,12.5,116.5,937.0
2013306N07162,2013,89,HAIYAN,2013-11-09 06:00:00,13.5,114.7,944.0
2013306N07162,2013,89,HAIYAN,2013-11-09 12:00:00,14.5,113.1,948.0
2013306N07162,2013,89,HAIYAN,2013-11-09 18:00:00,15.4,111.5,952.0
2013306N07162,2013,89,HAIYAN,2013-11-10 00:00:00,16.5,110.2,956.0
2013306N07162,2013,89,HAIYAN,2013-11-10 06:00:00,17.9,109.1,963.0
2013306N07162,2013,89,HAIYAN,2013-11-10 12:00:00,19.3,108.0,963.0
2013306N07162,2013,89,HAIYAN,2013-11-10 18:00:00,20.4,107.4,970.0
2013306N07162,2013,89,HAIYAN,2013-11-11 00:00:00,21.6,107.3,978.0
