SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2006198N08152,2006,35,KAEMI,2006-07-22 12:00:00,17.2,128.8,972.0
2006198N08152,2006,35,KAEMI,2006-07-22 18:00:00,18.0,128.1,972.0
2006198N08152,2006,35,KAEMI,2006-07-23 00:00:00,18.6,127.5,972.0
2006198N08152,2006,35,KAEMI,2006-07-23 06:00:00,19.4,126.5,976.0
2006198N08152,2006,35,KAEMI,2006-07-23 12:00:00,20.2,125.7,976.0
2006198N08152,2006,35,KAEMI,2006-07-23 18:00:00,20.7,124.6,980.0
2006198N08152,2006,35,KAEMI,2006-07-24 00:00:00,21.1,123.8,980.0
2006198N08152,2006,35,KAEMI,2006-07-24 06:00:00,21.7,122.9,980.0
2006198N08152,2006,35,KAEMI,2006-07-24 12:00:00,22.3,121.9,980.0
2006198N08152,2006,35,KAEMI,2006-07-24 18:00:00,23.1,120.7,984.0
2006198N08152,2006,35,KAEMI,2006-07-25 00:00:00,23.6,119.7,984.0
2006198N08152,2006,35,KAEMI,2006-07-25 06:00:00,24.2,118.8,987.0
2006198N08152,2006,35,KAEMI,2006-07-25 12:00:00,24.4,117.6,991.0
2006198N08152,2006,35,KAEMI,2006-07-25 18:00:00,24.5,116.8,991.0
