SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2008193N20126,2008,37,KALMAEGI,2008-07-15 12:00:00,18.1,123.6,996.0
2008193N20126,2008,37,KALMAEGI,2008-07-15 18:00:00,18.3,123.6,993.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 00:00:00,18.8,123.8,985.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 06:00:00,19.3,123.8,982.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 12:00:00,20.4,123.5,982.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 18:00:00,21.3,123.3,978.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 00:00:00,22.5,122.9,963.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 06:00:00,23.2,122.5,956.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 12:00:00,24.1,122.0,956.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 18:00:00,24.7,121.5,967.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 00:00:00,25.3,121.2,982.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 06:00:00,26.2,120.5,985.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 12:00:00,26.7,119.9,985.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 18:00:00,27.2,119.7,989.0
