SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2003196N11137,2003,45,KONI,2003-07-16 18:00:00,10.9,126.9,994.0
2003196N11137,2003,45,KONI,2003-07-17 00:00:00,11.0,125.7,991.0
2003196N11137,2003,45,KONI,2003-07-17 06:00:00,11.2,124.5,994.0
2003196N11137,2003,45,KONI,2003-07-17 12:00:00,11.7,123.0,994.0
2003196N11137,2003,45,KONI,2003-07-17 18:00:00,12.0,121.9,994.0
2003196N11137,2003,45,KONI,2003-07-18 00:00:00,12.1,120.4,991.0
2003196N11137,2003,45,KONI,2003-07-18 06:00:00,12.3,119.3,991.0
2003196N11137,2003,45,KONI,2003-07-18 12:00:00,12.7,118.4,991.0
2003196N11137,2003,45,KONI,2003-07-18 18:00:00,13.0,117.8,991.0
2003196N11137,2003,45,KONI,2003-07-19 00:00:00,13.7,117.2,991.0
2003196N11137,2003,45,KONI,2003-07-19 06:00:00,14.5,116.8,987.0
2003196N11137,2003,45,KONI,2003-07-19 12:00:00,15.0,116.4,987.0
2003196N11137,2003,45,KONI,2003-07-19 18:00:00,15.6,115.9,987.0
2003196N11137,2003,45,KONI,2003-07-20 00:00:00,16.3,115.1,980.0
2003196N11137,2003,45,KONI,2003-07-20 06:00:00,16.9,114.3,976.0
