SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2001309N10130,2001,91,LINGLING,2001-11-07 00:00:00,10.7,124.2,997.0
2001309N10130,2001,91,LINGLING,2001-11-07 06:00:00,10.8,123.7,994.0
2001309N10130,2001,91,LINGLING,2001-11-07 12:00:00,11.0,123.3,997.0
2001309N10130,2001,91,LINGLING,2001-11-07 18:00:00,11.2,122.8,994.0
2001309N10130,2001,91,LINGLING,2001-11-08 00:00:00,11.5,122.3,991.0
2001309N10130,2001,91,LINGLING,2001-11-08 06:00:00,11.8,121.6,991.0
2001309N10130,2001,91,LINGLING,2001-11-08 12:00:00,12.2,120.8,984.0
2001309N10130,2001,91,LINGLING,2001-11-08 18:00:00,12.5,119.8,984.0
2001309N10130,2001,91,LINGLING,2001-11-09 00:00:00,12.7,118.8,976.0
2001309N10130,2001,91,LINGLING,2001-11-09 06:00:00,13.0,117.8,972.0
2001309N10130,2001,91,LINGLING,2001-11-09 12:00:00,13.2,116.9,963.0
2001309N10130,2001,91,LINGLING,2001-11-09 18:00:00,13.4,116.0,954.0
2001309N10130,2001,91,LINGLING,2001-11-10 00:00:00,13.4,115.3,944.0
2001309N10130,2001,91,LINGLING,2001-11-10 06:00:00,13.5,114.8,933.0
