SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022299N11134,2022,98,NALGAE,2022-10-27 12:00:00,11.4,130.3,997.0
2022299N11134,2022,98,NALGAE,2022-10-27 18:00:00,11.5,129.3,995.0
2022299N11134,2022,98,NALGAE,2022-10-28 00:00:00,11.9,128.2,993.0
2022299N11134,2022,98,NALGAE,2022-10-28 06:00:00,12.2,126.7,991.0
2022299N11134,2022,98,NALGAE,2022-10-28 12:00:00,13.1,125.4,991.0
2022299N11134,2022,98,NALGAE,2022-10-28 18:00:00,13.5,123.9,988.0
2022299N11134,2022,98,NALGAE,2022-10-29 00:00:00,13.7,122.4,990.0
2022299N11134,2022,98,NALGAE,2022-10-29 06:00:00,13.9,121.8,989.0
2022299N11134,2022,98,NALGAE,2022-10-29 12:00:00,14.6,121.1,993.0
2022299N11134,2022,98,NALGAE,2022-10-29 18:00:00,15.6,119.9,994.0
2022299N11134,2022,98,NALGAE,2022-10-30 00:00:00,15.8,118.6,995.0
2022299N11134,2022,98,NALGAE,2022-10-30 06:00:00,15.6,117.8,990.0
2022299N11134,2022,98,NALGAE,2022-10-30 12:00:00,15.7,117.4,992.0
2022299N11134,2022,98,NALGAE,2022-10-30 18:00:00,16.0,117.1,990.0
2022299N11134,2022,98,NALGAE,2022-10-31 00:00:00,16.4,116.9,988.0
2022299N11134,2022,98,NALGAE,2022-10-31 06:00:00,17.1,116.6,979.0
2022299N11134,2022,98,NALGAE,2022-10-31 12:00:00,17.8,116.4,979.0
2022299N11134,2022,98,NALGAE,2022-10-31 18:00:00,18.3,116.2,972.0
