SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2001248N23125,2001,59,NARI,2001-09-13 18:00:00,27.4,125.6,998.0
2001248N23125,2001,59,NARI,2001-09-14 00:00:00,27.6,125.3,972.0
2001248N23125,2001,59,NARI,2001-09-14 06:00:00,27.5,125.0,976.0
2001248N23125,2001,59,NARI,2001-09-14 12:00:00,27.2,124.8,976.0
2001248N23125,2001,59,NARI,2001-09-14 18:00:00,26.8,124.6,980.0
2001248N23125,2001,59,NARI,2001-09-15 00:00:00,26.4,124.3,976.0
2001248N23125,2001,59,NARI,2001-09-15 06:00:00,26.0,124.0,972.0
2001248N23125,2001,59,NARI,2001-09-15 12:00:00,25.8,123.8,967.0
2001248N23125,2001,59,NARI,2001-09-15 18:00:00,25.6,123.5,963.0
2001248N23125,2001,59,NARI,2001-09-16 00:00:00,25.5,123.1,954.0
2001248N23125,2001,59,NARI,2001-09-16 06:00:00,25.4,122.6,954.0
2001248N23125,2001,59,NARI,2001-09-16 12:00:00,25.1,122.2,958.0
2001248N23125,2001,59,NARI,2001-09-16 18:00:00,24.6,121.6,976.0
2001248N23125,2001,59,NARI,2001-09-17 00:00:00,24.2,121.3,991.0
2001248N23125,2001,59,NARI,2001-09-17 06:00:00,23.8,121.3,991.0
2001248N23125,2001,59,NARI,2001-09-17 12:00:00,23.7,121.4,997.0
2001248N23125,2001,59,NARI,2001-09-17 18:00:00,23.6,121.3,997.0
2001248N23125,2001,59,NARI,2001-09-18 00:00:00,23.5,121.2,997.0
2001248N23125,2001,59,NARI,2001-09-18 06:00:00,23.3,120.9,997.0
2001248N23125,2001,59,NARI,2001-09-18 12:00:00,23.2,120.7,997.0
2001248N23125,2001,59,NARI,2001-09-19 18:00:00,22.7,117.9,991.0
2001248N23125,2001,59,NARI,2001-09-20 00:00:00,22.8,116.9,984.0
2001248N23125,2001,59,NARI,2001-09-20 06:00:00,22.9,115.4,984.0
2001248N23125,2001,59,NARI,2001-09-20 12:00:00,22.9,114.2,997.0
