SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2017206N13129,2017,50,NESAT,2017-07-27 12:00:00,18.7,127.0,988.0
2017206N13129,2017,50,NESAT,2017-07-27 18:00:00,19.4,126.4,978.0
2017206N13129,2017,50,NESAT,2017-07-28 00:00:00,20.0,125.6,978.0
2017206N13129,2017,50,NESAT,2017-07-28 06:00:00,20.6,125.0,974.0
2017206N13129,2017,50,NESAT,2017-07-28 12:00:00,21.1,124.4,970.0
2017206N13129,2017,50,NESAT,2017-07-28 18:00:00,21.7,123.6,967.0
2017206N13129,2017,50,NESAT,2017-07-29 00:00:00,22.4,123.2,963.0
2017206N13129,2017,50,NESAT,2017-07-29 06:00:00,23.4,122.7,959.0
2017206N13129,2017,50,NESAT,2017-07-29 12:00:00,24.6,121.8,963.0
2017206N13129,2017,50,NESAT,2017-07-29 18:00:00,25.1,120.3,978.0
2017206N13129,2017,50,NESAT,2017-07-30 00:00:00,25.8,119.2,982.0
2017206N13129,2017,50,NESAT,2017-07-30 06:00:00,26.0,118.0,993.0
