SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2004288N09164,2004,86,NOCK-TEN,2004-10-23 00:00:00,17.4,132.3,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-23 06:00:00,18.0,130.9,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-23 12:00:00,18.6,129.3,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-23 18:00:00,19.3,127.7,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-24 00:00:00,20.0,126.0,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-24 06:00:00,20.7,124.5,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-24 12:00:00,21.7,123.2,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-24 18:00:00,22.7,122.4,933.0
2004288N09164,2004,86,NOCK-TEN,2004-10-25 00:00:00,24.2,122.2,944.0
2004288N09164,2004,86,NOCK-TEN,2004-10-25 06:00:00,25.4,121.8,954.0
2004288N09164,2004,86,NOCK-TEN,2004-10-25 12:00:00,26.3,122.3,967.0
2004288N09164,2004,86,NOCK-TEN,2004-10-25 18:00:00,27.5,123.6,976.0
2004288N09164,2004,86,NOCK-TEN,2004-10-26 00:00:00,28.4,126.0,980.0
2004288N09164,2004,86,NOCK-TEN,2004-10-26 06:00:00,29.2,130.3,991.0
2004288N09164,2004,86,NOCK-TEN,2004-10-26 12:00:00,30.2,134.2,991.0
