SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2002155N20112,2002,29,NOGURI,2002-06-07 18:00:00,20.7,121.1,997.0
2002155N20112,2002,29,NOGURI,2002-06-08 00:00:00,20.8,122.1,991.0
2002155N20112,2002,29,NOGURI,2002-06-08 06:00:00,21.1,123.0,991.0
2002155N20112,2002,29,NOGURI,2002-06-08 12:00:00,21.4,123.8,987.0
2002155N20112,2002,29,NOGURI,2002-06-08 18:00:00,21.8,124.3,976.0
2002155N20112,2002,29,NOGURI,2002-06-09 00:00:00,22.7,124.7,958.0
2002155N20112,2002,29,NOGURI,2002-06-09 06:00:00,23.3,124.8,958.0
2002155N20112,2002,29,NOGURI,2002-06-09 12:00:00,23.9,125.0,958.0
2002155N20112,2002,29,NOGURI,2002-06-09 18:00:00,24.9,125.4,963.0
2002155N20112,2002,29,NOGURI,2002-06-10 00:00:00,25.9,126.1,967.0
2002155N20112,2002,29,NOGURI,2002-06-10 06:00:00,27.0,126.9,976.0
2002155N20112,2002,29,NOGURI,2002-06-10 12:00:00,28.5,128.3,984.0
