SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015122N07144,2015,26,NOUL,2015-05-08 18:00:00,13.7,127.1,944.0
2015122N07144,2015,26,NOUL,2015-05-09 00:00:00,14.3,126.2,944.0
2015122N07144,2015,26,NOUL,2015-05-09 06:00:00,14.9,125.2,944.0
2015122N07144,2015,26,NOUL,2015-05-09 12:00:00,15.4,124.6,933.0
2015122N07144,2015,26,NOUL,2015-05-09 18:00:00,16.1,123.9,922.0
2015122N07144,2015,26,NOUL,2015-05-10 00:00:00,17.0,123.3,918.0
2015122N07144,2015,26,NOUL,2015-05-10 06:00:00,17.8,122.6,918.0
2015122N07144,2015,26,NOUL,2015-05-10 12:00:00,18.6,122.3,926.0
2015122N07144,2015,26,NOUL,2015-05-10 18:00:00,19.6,122.0,937.0
2015122N07144,2015,26,NOUL,2015-05-11 00:00:00,20.6,122.0,944.0
2015122N07144,2015,26,NOUL,2015-05-11 06:00:00,21.7,122.3,956.0
2015122N07144,2015,26,NOUL,2015-05-11 12:00:00,23.3,123.5,963.0
2015122N07144,2015,26,NOUL,2015-05-11 18:00:00,25.6,125.6,970.0
2015122N07144,2015,26,NOUL,2015-05-12 00:00:00,28.0,128.5,982.0
2015122N07144,2015,26,NOUL,2015-05-12 06:00:00,30.5,132.3,985.0
