SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2009270N10148,2009,74,PARMA,2009-10-02 12:00:00,15.9,124.7,952.0
2009270N10148,2009,74,PARMA,2009-10-02 18:00:00,16.5,123.8,956.0
2009270N10148,2009,74,PARMA,2009-10-03 00:00:00,17.2,123.0,956.0
2009270N10148,2009,74,PARMA,2009-10-03 06:00:00,17.8,122.1,963.0
2009270N10148,2009,74,PARMA,2009-10-03 12:00:00,18.2,121.5,967.0
2009270N10148,2009,74,PARMA,2009-10-03 18:00:00,18.6,120.7,974.0
2009270N10148,2009,74,PARMA,2009-10-04 00:00:00,18.8,120.2,974.0
2009270N10148,2009,74,PARMA,2009-10-04 06:00:00,19.3,119.9,974.0
2009270N10148,2009,74,PARMA,2009-10-04 12:00:00,19.7,119.7,978.0
2009270N10148,2009,74,PARMA,2009-10-04 18:00:00,20.0,119.5,982.0
2009270N10148,2009,74,PARMA,2009-10-05 00:00:00,20.1,119.5,982.0
2009270N10148,2009,74,PARMA,2009-10-05 06:00:00,20.2,119.6,982.0
2009270N10148,2009,74,PARMA,2009-10-05 12:00:00,20.1,119.8,982.0
2009270N10148,2009,74,PARMA,2009-10-05 18:00:00,19.8,120.0,982.0
2009270N10148,2009,74,PARMA,2009-10-06 00:00:00,19.3,120.2,982.0
2009270N10148,2009,74,PARMA,2009-10-06 06:00:00,18.9,120.6,982.0
2009270N10148,2009,74,PARMA,2009-10-06 12:00:00,18.5,120.9,982.0
2009270N10148,2009,74,PARMA,2009-10-06 18:00:00,18.0,121.3,996.0
2009270N10148,2009,74,PARMA,2009-10-07 00:00:00,17.6,122.0,996.0
2009270N10148,2009,74,PARMA,2009-10-07 06:00:00,17.6,122.4,996.0
2009270N10148,2009,74,PARMA,2009-10-07 12:00:00,17.8,122.6,996.0
2009270N10148,2009,74,PARMA,2009-10-07 18:00:00,17.8,122.6,996.0
2009270N10148,2009,74,PARMA,2009-10-08 18:00:00,17.3,120.6,997.0
