SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2014190N08154,2014,40,RAMMASUN,2014-07-13 00:00:00,13.6,138.1,996.0
2014190N08154,2014,40,RAMMASUN,2014-07-13 06:00:00,13.6,136.2,996.0
2014190N08154,2014,40,RAMMASUN,2014-07-13 12:00:00,13.5,134.3,993.0
2014190N08154,2014,40,RAMMASUN,2014-07-13 18:00:00,13.5,132.5,989.0
2014190N08154,2014,40,RAMMASUN,2014-07-14 00:00:00,13.3,130.7,982.0
2014190N08154,2014,40,RAMMASUN,2014-07-14 06:00:00,12.9,129.2,974.0
2014190N08154,2014,40,RAMMASUN,2014-07-14 12:00:00,12.7,128.2,967.0
2014190N08154,2014,40,RAMMASUN,2014-07-14 18:00:00,12.7,126.9,963.0
2014190N08154,2014,40,RAMMASUN,2014-07-15 00:00:00,12.7,125.7,956.0
2014190N08154,2014,40,RAMMASUN,2014-07-15 06:00:00,13.0,124.7,948.0
2014190N08154,2014,40,RAMMASUN,2014-07-15 12:00:00,13.4,123.4,937.0
2014190N08154,2014,40,RAMMASUN,2014-07-15 18:00:00,14.0,122.0,944.0
2014190N08154,2014,40,RAMMASUN,2014-07-16 00:00:00,14.3,120.6,956.0
2014190N08154,2014,40,RAMMASUN,2014-07-16 06:00:00,15.0,119.1,963.0
2014190N08154,2014,40,RAMMASUN,2014-07-16 12:00:00,15.3,117.8,963.0
2014190N08154,2014,40,RAMMASUN,2014-07-16 18:00:00,15.8,116.8,963.0
2014190N08154,2014,40,RAMMASUN,2014-07-17 00:00:00,16.3,115.8,959.0
2014190N08154,2014,40,RAMMASUN,2014-07-17 06:00:00,16.8,115.0,952.0
2014190N08154,2014,40,RAMMASUN,2014-07-17 12:00:00,17.5,114.3,944.0
2014190N08154,2014,40,RAMMASUN,2014-07-17 18:00:00,18.5,113.4,929.0
2014190N08154,2014,40,RAMMASUN,2014-07-18 00:00:00,19.1,112.3,926.0
2014190N08154,2014,40,RAMMASUN,2014-07-18 06:00:00,19.9,111.3,918.0
