SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2005222N14131,2005,53,SANVU,2005-08-10 18:00:00,15.5,128.0,997.0
2005222N14131,2005,53,SANVU,2005-08-11 00:00:00,16.2,126.6,997.0
2005222N14131,2005,53,SANVU,2005-08-11 06:00:00,17.2,124.8,994.0
2005222N14131,2005,53,SANVU,2005-08-11 12:00:00,17.9,123.4,991.0
2005222N14131,2005,53,SANVU,2005-08-11 18:00:00,18.4,122.0,991.0
2005222N14131,2005,53,SANVU,2005-08-12 00:00:00,19.0,121.0,987.0
2005222N14131,2005,53,SANVU,2005-08-12 06:00:00,19.7,119.8,984.0
2005222N14131,2005,53,SANVU,2005-08-12 12:00:00,20.4,119.0,980.0
2005222N14131,2005,53,SANVU,2005-08-12 18:00:00,21.5,118.2,980.0
2005222N14131,2005,53,SANVU,2005-08-13 00:00:00,22.8,117.2,976.0
2005222N14131,2005,53,SANVU,2005-08-13 06:00:00,23.8,116.6,991.0
2005222N14131,2005,53,SANVU,2005-08-13 12:00:00,25.0,115.8,997.0
