SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2001181N08141,2001,31,UTOR,2001-07-02 18:00:00,13.4,133.3,991.0
2001181N08141,2001,31,UTOR,2001-07-03 00:00:00,14.2,131.5,976.0
2001181N08141,2001,31,UTOR,2001-07-03 06:00:00,15.4,129.7,976.0
2001181N08141,2001,31,UTOR,2001-07-03 12:00:00,16.4,127.9,976.0
2001181N08141,2001,31,UTOR,2001-07-03 18:00:00,17.4,126.1,972.0
2001181N08141,2001,31,UTOR,2001-07-04 00:00:00,18.3,124.2,967.0
2001181N08141,2001,31,UTOR,2001-07-04 06:00:00,18.8,122.2,963.0
2001181N08141,2001,31,UTOR,2001-07-04 12:00:00,19.3,120.5,963.0
2001181N08141,2001,31,UTOR,2001-07-04 18:00:00,19.7,119.8,967.0
2001181N08141,2001,31,UTOR,2001-07-05 00:00:00,20.4,118.6,972.0
2001181N08141,2001,31,UTOR,2001-07-05 06:00:00,20.8,117.6,976.0
2001181N08141,2001,31,UTOR,2001-07-05 12:00:00,21.2,116.6,984.0
2001181N08141,2001,31,UTOR,2001-07-05 18:00:00,21.8,115.9,976.0
2001181N08141,2001,31,UTOR,2001-07-06 00:00:00,22.8,114.8,976.0
