SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2019231N13135,2019,49,BAILU,2019-08-22 00:00:00,15.7,129.2,995.0,,15.7,129.2,999.4048461914062,16.0,129.0
2019231N13135,2019,49,BAILU,2019-08-22 06:00:00,15.9,128.6,995.0,996.9769287109375,16.75,129.08964558721334,996.8110961914062,15.5,129.0
2019231N13135,2019,49,BAILU,2019-08-22 12:00:00,16.5,127.9,994.0,997.7825927734375,17.5,128.08895066018067,998.1031494140625,18.0,128.5
2019231N13135,2019,49,BAILU,2019-08-22 18:00:00,17.4,127.4,994.0,995.7214965820312,18.25,126.83808200138985,997.2092895507812,19.0,127.0
2019231N13135,2019,49,BAILU,2019-08-23 00:00:00,18.3,126.3,995.0,994.5418090820312,19.0,125.83738707435718,996.6258544921875,18.5,125.5
2019231N13135,2019,49,BAILU,2019-08-23 06:00:00,19.1,125.3,992.0,991.8922729492188,19.75,125.0868658790827,994.3130493164062,20.0,126.0
2019231N13135,2019,49,BAILU,2019-08-23 12:00:00,19.9,124.5,989.0,990.7527465820312,20.25,123.83599722029186,995.580078125,21.5,124.5
2019231N13135,2019,49,BAILU,2019-08-23 18:00:00,20.7,123.2,987.0,987.3914794921875,21.0,122.8353022932592,993.955810546875,21.5,123.0
2019231N13135,2019,49,BAILU,2019-08-24 00:00:00,21.5,121.9,987.0,987.62744140625,22.0,122.0847810979847,993.93798828125,22.0,122.5
2019231N13135,2019,49,BAILU,2019-08-24 06:00:00,22.3,120.6,979.0,988.4406127929688,23.5,120.08339124391938,993.58544921875,24.5,120.5
2019231N13135,2019,49,BAILU,2019-08-24 12:00:00,22.8,119.1,982.0,989.0437622070312,23.25,118.08200138985406,993.9937744140625,23.0,119.5
2019231N13135,2019,49,BAILU,2019-08-24 18:00:00,22.9,117.9,991.0,988.31201171875,23.25,117.0813064628214,991.2528076171875,24.5,118.5
2019231N13135,2019,49,BAILU,2019-08-25 00:00:00,23.8,117.2,993.0,992.1090087890625,23.5,116.08061153578873,996.0880737304688,24.5,117.5
2019231N13135,2019,49,BAILU,2019-08-25 06:00:00,24.6,115.8,995.0,993.0908813476562,24.0,114.57956914523974,997.1726684570312,25.5,116.5
