SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021248N12141,2021,72,CHANTHU,2021-09-08 18:00:00,15.4,129.1,929.0,1000.187744140625,15.5,129.58999305072967,992.6978759765625,15.5,129.5
2021248N12141,2021,72,CHANTHU,2021-09-09 00:00:00,15.5,128.0,924.0,1001.5672607421875,15.75,128.33912439193884,993.066162109375,15.5,128.5
2021248N12141,2021,72,CHANTHU,2021-09-09 06:00:00,15.8,127.1,932.0,998.909423828125,16.0,127.33842946490617,976.4358520507812,15.5,127.5
2021248N12141,2021,72,CHANTHU,2021-09-09 12:00:00,16.1,125.9,942.0,999.54443359375,16.25,126.08756080611535,980.8133544921875,16.0,126.5
2021248N12141,2021,72,CHANTHU,2021-09-09 18:00:00,16.6,124.9,936.0,997.4575805664062,16.5,125.0868658790827,977.5628662109375,16.5,125.5
2021248N12141,2021,72,CHANTHU,2021-09-10 00:00:00,17.1,124.1,928.0,998.62255859375,17.25,124.08617095205003,973.2176513671875,17.0,125.0
2021248N12141,2021,72,CHANTHU,2021-09-10 06:00:00,17.8,123.5,916.0,997.6377563476562,18.0,122.8353022932592,969.249755859375,18.0,124.0
2021248N12141,2021,72,CHANTHU,2021-09-10 12:00:00,18.7,122.9,911.0,997.930908203125,19.0,121.83460736622654,976.1124267578125,19.0,123.5
2021248N12141,2021,72,CHANTHU,2021-09-10 18:00:00,19.5,122.3,902.0,995.7907104492188,19.75,120.83391243919388,978.83837890625,20.0,123.0
2021248N12141,2021,72,CHANTHU,2021-09-11 00:00:00,20.3,121.9,915.0,996.5005493164062,20.0,119.83321751216121,974.1200561523438,20.5,122.5
2021248N12141,2021,72,CHANTHU,2021-09-11 06:00:00,21.0,121.5,925.0,993.4481201171875,20.75,119.08269631688671,966.2103881835938,21.5,122.0
2021248N12141,2021,72,CHANTHU,2021-09-11 12:00:00,21.8,121.8,945.0,992.9890747070312,21.0,119.08269631688671,961.7966918945312,22.0,122.0
2021248N12141,2021,72,CHANTHU,2021-09-11 18:00:00,22.8,122.0,944.0,991.7645874023438,21.25,118.83252258512856,975.2254028320312,23.0,122.0
2021248N12141,2021,72,CHANTHU,2021-09-12 00:00:00,23.8,122.3,948.0,992.3423461914062,22.0,118.83252258512856,985.106201171875,24.0,122.0
2021248N12141,2021,72,CHANTHU,2021-09-12 06:00:00,25.2,122.3,943.0,993.9935302734375,23.0,118.58234885337039,987.2321166992188,25.0,121.5
2021248N12141,2021,72,CHANTHU,2021-09-12 12:00:00,26.3,122.7,949.0,996.708984375,23.75,118.83252258512856,990.3768920898438,25.5,122.0
2021248N12141,2021,72,CHANTHU,2021-09-12 18:00:00,27.6,123.1,953.0,999.1515502929688,24.5,119.33287004864488,981.8844604492188,27.0,122.0
2021248N12141,2021,72,CHANTHU,2021-09-13 00:00:00,29.1,123.6,959.0,1002.5653076171875,25.75,120.33356497567755,982.6261596679688,28.0,122.5
2021248N12141,2021,72,CHANTHU,2021-09-13 06:00:00,30.7,123.4,968.0,1001.797119140625,27.0,120.83391243919388,980.8462524414062,29.5,122.5
2021248N12141,2021,72,CHANTHU,2021-09-13 12:00:00,31.0,123.3,975.0,1003.3482055664062,28.25,122.0847810979847,981.019775390625,30.0,122.5
2021248N12141,2021,72,CHANTHU,2021-09-13 18:00:00,31.4,123.5,980.0,1002.6891479492188,29.5,122.33495482974287,980.4700927734375,30.5,122.0
2021248N12141,2021,72,CHANTHU,2021-09-14 00:00:00,31.3,123.8,990.0,1003.969970703125,30.5,123.08547602501736,985.97998046875,31.0,122.5
2021248N12141,2021,72,CHANTHU,2021-09-14 06:00:00,30.9,124.3,991.0,1002.6869506835938,31.0,123.33564975677552,982.2999267578125,31.5,123.0
2021248N12141,2021,72,CHANTHU,2021-09-14 12:00:00,30.5,124.7,994.0,1004.0486450195312,31.0,123.83599722029186,979.49072265625,31.5,123.5
2021248N12141,2021,72,CHANTHU,2021-09-14 18:00:00,30.2,125.2,996.0,1004.2778930664062,31.5,124.08617095205003,980.7388916015625,31.0,124.0
2021248N12141,2021,72,CHANTHU,2021-09-15 00:00:00,30.3,125.7,994.0,1005.4894409179688,31.5,124.33634468380819,978.8746337890625,31.0,124.5
2021248N12141,2021,72,CHANTHU,2021-09-15 06:00:00,30.3,125.8,991.0,1005.0050048828125,31.75,124.58651841556636,972.9833374023438,31.5,125.0
2021248N12141,2021,72,CHANTHU,2021-09-15 12:00:00,30.2,125.6,991.0,1006.0486450195312,31.75,124.83669214732453,971.3771362304688,31.5,125.5
