SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2020213N15131,2020,49,HAGUPIT,2020-08-02 12:00:00,23.6,124.2,995.0,,23.6,124.2,999.0238037109375,23.5,124.5
2020213N15131,2020,49,HAGUPIT,2020-08-02 18:00:00,24.2,123.9,987.0,995.281494140625,24.0,123.83599722029186,996.4805297851562,24.5,123.5
2020213N15131,2020,49,HAGUPIT,2020-08-03 00:00:00,25.0,123.4,983.0,996.2952880859375,25.25,123.08547602501736,996.7736206054688,25.5,123.0
2020213N15131,2020,49,HAGUPIT,2020-08-03 06:00:00,26.2,122.5,977.0,994.5552978515625,26.0,122.0847810979847,995.417724609375,26.5,122.0
2020213N15131,2020,49,HAGUPIT,2020-08-03 12:00:00,26.8,121.7,971.0,994.9759521484375,26.75,121.3342599027102,995.9810791015625,27.5,121.0
2020213N15131,2020,49,HAGUPIT,2020-08-03 18:00:00,27.7,121.1,971.0,995.77099609375,27.75,120.83391243919388,997.9584350585938,28.0,120.5
2020213N15131,2020,49,HAGUPIT,2020-08-04 00:00:00,28.6,120.6,986.0,999.1365356445312,29.25,120.08339124391938,999.4592895507812,29.0,120.5
2020213N15131,2020,49,HAGUPIT,2020-08-04 06:00:00,29.6,120.4,993.0,999.3552856445312,30.5,120.08339124391938,998.3170166015625,30.5,120.5
2020213N15131,2020,49,HAGUPIT,2020-08-04 12:00:00,30.8,120.3,998.0,999.2740478515625,31.25,118.58234885337039,999.895263671875,32.0,119.5
2020213N15131,2020,49,HAGUPIT,2020-08-05 06:00:00,35.1,121.4,998.0,1000.8250122070312,35.0,120.08339124391938,1003.037353515625,36.0,119.5
2020213N15131,2020,49,HAGUPIT,2020-08-05 12:00:00,36.5,122.6,998.0,1001.1629028320312,36.25,122.0847810979847,1003.9544677734375,37.5,122.5
2020213N15131,2020,49,HAGUPIT,2020-08-06 00:00:00,39.5,128.2,995.0,999.1171264648438,39.25,125.58721334259901,1003.6867065429688,40.0,126.0
