SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2017209N19118,2017,52,HAITANG,2017-07-28 12:00:00,18.6,115.8,998.0,,18.6,115.8,993.2481079101562,18.5,115.5
2017209N19118,2017,52,HAITANG,2017-07-28 18:00:00,18.1,115.9,996.0,994.6369018554688,18.0,115.83043780403057,990.177001953125,18.0,115.5
2017209N19118,2017,52,HAITANG,2017-07-29 00:00:00,18.2,116.3,993.0,992.6644287109375,17.75,116.3307852675469,988.9960327148438,18.0,116.0
2017209N19118,2017,52,HAITANG,2017-07-29 06:00:00,18.3,116.8,993.0,990.6341552734375,18.25,117.0813064628214,986.28955078125,18.0,116.5
2017209N19118,2017,52,HAITANG,2017-07-29 12:00:00,18.8,117.5,993.0,990.4835205078125,19.0,118.08200138985406,984.8037719726562,18.5,117.5
2017209N19118,2017,52,HAITANG,2017-07-29 18:00:00,19.3,118.3,993.0,990.2115478515625,19.75,119.08269631688671,984.23974609375,19.5,118.5
2017209N19118,2017,52,HAITANG,2017-07-30 00:00:00,20.0,119.4,993.0,991.7793579101562,21.5,120.08339124391938,982.1782836914062,20.5,119.0
2017209N19118,2017,52,HAITANG,2017-07-30 06:00:00,21.7,120.3,993.0,989.045166015625,24.75,118.58234885337039,980.805419921875,22.0,120.0
2017209N19118,2017,52,HAITANG,2017-07-30 12:00:00,23.0,120.5,993.0,990.20263671875,24.75,118.58234885337039,987.8945922851562,23.5,120.0
2017209N19118,2017,52,HAITANG,2017-07-30 18:00:00,24.7,120.1,992.0,991.007568359375,26.25,118.33217512161222,987.8775634765625,26.0,120.0
2017209N19118,2017,52,HAITANG,2017-07-31 00:00:00,26.1,118.9,992.0,992.0772094726562,27.25,118.08200138985406,990.9083862304688,28.0,119.0
