SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013306N07162,2013,89,HAIYAN,2013-11-06 00:00:00,7.3,139.7,926.0,,7.3,139.7,992.4720458984375,7.5,139.5
2013306N07162,2013,89,HAIYAN,2013-11-06 06:00:00,7.6,138.0,922.0,989.8013916015625,7.75,138.0958999305073,983.99169921875,7.5,138.0
2013306N07162,2013,89,HAIYAN,2013-11-06 12:00:00,7.9,136.2,911.0,991.83251953125,8.0,136.09451007644196,980.7882690429688,8.0,136.5
2013306N07162,2013,89,HAIYAN,2013-11-06 18:00:00,8.2,134.4,907.0,988.9376831054688,8.25,134.59346768589296,972.2252197265625,8.5,135.0
2013306N07162,2013,89,HAIYAN,2013-11-07 00:00:00,8.7,132.8,907.0,991.7982788085938,8.25,132.84225156358582,977.4697875976562,9.0,133.5
2013306N07162,2013,89,HAIYAN,2013-11-07 06:00:00,9.3,131.1,903.0,990.1085815429688,9.0,131.09103544127865,969.0889282226562,10.0,131.5
2013306N07162,2013,89,HAIYAN,2013-11-07 12:00:00,10.2,129.1,895.0,992.4321899414062,9.25,129.58999305072967,961.286376953125,10.5,130.0
2013306N07162,2013,89,HAIYAN,2013-11-07 18:00:00,10.6,126.9,895.0,991.015380859375,10.0,127.8387769284225,956.8623657226562,11.0,128.5
2013306N07162,2013,89,HAIYAN,2013-11-08 00:00:00,11.0,124.8,899.0,994.7826538085938,10.25,125.83738707435718,952.3407592773438,11.5,126.5
2013306N07162,2013,89,HAIYAN,2013-11-08 06:00:00,11.4,122.6,914.0,993.184326171875,11.0,123.83599722029186,958.7400512695312,12.0,124.5
2013306N07162,2013,89,HAIYAN,2013-11-08 12:00:00,11.9,120.5,926.0,994.425048828125,11.25,121.3342599027102,961.9140625,12.5,122.5
2013306N07162,2013,89,HAIYAN,2013-11-08 18:00:00,12.3,118.0,933.0,993.3739624023438,12.0,118.83252258512856,969.767578125,13.0,120.5
2013306N07162,2013,89,HAIYAN,2013-11-09 00:00:00,12.5,116.5,937.0,992.5285034179688,12.25,116.58095899930507,978.09521484375,13.0,118.5
2013306N07162,2013,89,HAIYAN,2013-11-09 06:00:00,13.5,114.7,944.0,990.671630859375,12.75,114.32939541348158,974.2637329101562,13.5,117.0
2013306N07162,2013,89,HAIYAN,2013-11-09 12:00:00,14.5,113.1,948.0,991.3074951171875,13.25,112.57817929117442,972.0758056640625,14.5,115.0
2013306N07162,2013,89,HAIYAN,2013-11-09 18:00:00,15.4,111.5,952.0,990.3099975585938,14.0,110.82696316886727,969.4769287109375,15.0,113.0
2013306N07162,2013,89,HAIYAN,2013-11-10 00:00:00,16.5,110.2,956.0,995.937255859375,15.0,109.57609451007643,971.3328247070312,15.5,111.5
2013306N07162,2013,89,HAIYAN,2013-11-10 06:00:00,17.9,109.1,963.0,998.0452270507812,15.75,108.07505211952744,971.4697875976562,16.0,110.0
2013306N07162,2013,89,HAIYAN,2013-11-10 12:00:00,19.3,108.0,963.0,1000.8074340820312,17.0,106.07366226546212,969.3812255859375,16.5,109.0
2013306N07162,2013,89,HAIYAN,2013-11-10 18:00:00,20.4,107.4,970.0,1002.8043823242188,17.5,105.07296733842946,971.826171875,17.0,107.5
2013306N07162,2013,89,HAIYAN,2013-11-11 00:00:00,21.6,107.3,978.0,1005.020263671875,18.25,103.57192494788046,976.5079956054688,17.5,106.5
