SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2008193N20126,2008,37,KALMAEGI,2008-07-15 12:00:00,18.1,123.6,996.0,,18.1,123.6,996.1936645507812,19.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-15 18:00:00,18.3,123.6,993.0,996.346435546875,19.0,123.83599722029186,995.3145141601562,19.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 00:00:00,18.8,123.8,985.0,997.0946044921875,19.5,123.83599722029186,995.9269409179688,19.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 06:00:00,19.3,123.8,982.0,995.7343139648438,20.0,123.58582348853369,994.6888427734375,20.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 12:00:00,20.4,123.5,982.0,995.9649047851562,20.75,123.33564975677552,996.6886596679688,21.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 18:00:00,21.3,123.3,978.0,994.9920043945312,21.5,122.8353022932592,995.9940795898438,23.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 00:00:00,22.5,122.9,963.0,995.8142700195312,23.0,122.8353022932592,997.87548828125,24.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 06:00:00,23.2,122.5,956.0,996.1785888671875,24.0,122.0847810979847,997.87939453125,25.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 12:00:00,24.1,122.0,956.0,995.4940795898438,25.25,121.08408617095205,999.5003051757812,26.0,123.5
2008193N20126,2008,37,KALMAEGI,2008-07-17 18:00:00,24.7,121.5,967.0,995.2225952148438,25.25,121.08408617095205,1000.6339721679688,27.5,123.5
2008193N20126,2008,37,KALMAEGI,2008-07-18 00:00:00,25.3,121.2,982.0,996.5027465820312,25.75,120.08339124391938,1002.281494140625,28.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 06:00:00,26.2,120.5,985.0,996.8378295898438,26.25,120.08339124391938,1001.604248046875,29.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 12:00:00,26.7,119.9,985.0,997.6676025390625,26.75,120.08339124391938,1002.6426391601562,30.5,124.5
2008193N20126,2008,37,KALMAEGI,2008-07-18 18:00:00,27.2,119.7,989.0,997.932861328125,29.0,119.83321751216121,1003.0443725585938,31.5,125.0
