SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023271N14144,2023,65,KOINU,2023-10-02 12:00:00,19.9,126.2,939.0,,19.9,126.2,965.7642211914062,20.0,126.0
2023271N14144,2023,65,KOINU,2023-10-02 18:00:00,20.2,125.5,946.0,976.502197265625,20.0,125.83738707435718,965.06103515625,20.0,125.5
2023271N14144,2023,65,KOINU,2023-10-03 00:00:00,20.5,125.1,949.0,978.2870483398438,20.5,125.0868658790827,957.8724365234375,20.5,125.0
2023271N14144,2023,65,KOINU,2023-10-03 06:00:00,21.2,124.9,955.0,976.0115356445312,21.0,125.0868658790827,949.5879516601562,21.0,124.5
2023271N14144,2023,65,KOINU,2023-10-03 12:00:00,21.7,124.6,957.0,978.3568725585938,21.25,124.58651841556636,955.7525634765625,21.5,124.0
2023271N14144,2023,65,KOINU,2023-10-03 18:00:00,22.0,124.1,963.0,976.5404052734375,22.0,123.83599722029186,952.7446899414062,22.0,123.5
2023271N14144,2023,65,KOINU,2023-10-04 00:00:00,22.2,123.5,948.0,981.337158203125,22.25,123.08547602501736,935.6522827148438,22.0,123.0
2023271N14144,2023,65,KOINU,2023-10-04 06:00:00,22.1,122.7,940.0,982.115234375,22.75,122.0847810979847,957.0939331054688,22.0,122.0
2023271N14144,2023,65,KOINU,2023-10-04 12:00:00,22.0,122.0,936.0,988.0531005859375,22.25,120.83391243919388,950.3842163085938,22.5,121.5
2023271N14144,2023,65,KOINU,2023-10-04 18:00:00,21.9,121.3,936.0,988.6668090820312,22.75,120.33356497567755,972.0418701171875,22.5,120.5
2023271N14144,2023,65,KOINU,2023-10-05 00:00:00,22.0,120.8,947.0,992.2109375,23.0,119.83321751216121,980.0114135742188,23.0,120.0
2023271N14144,2023,65,KOINU,2023-10-05 06:00:00,22.1,120.0,961.0,991.2294311523438,23.0,119.33287004864488,983.3325805664062,23.0,119.5
2023271N14144,2023,65,KOINU,2023-10-05 12:00:00,22.0,119.1,971.0,996.441650390625,23.0,118.83252258512856,988.4451293945312,23.0,119.0
2023271N14144,2023,65,KOINU,2023-10-05 18:00:00,21.9,118.4,979.0,998.7848510742188,23.0,118.08200138985406,990.60986328125,23.0,118.0
2023271N14144,2023,65,KOINU,2023-10-06 00:00:00,21.8,117.7,965.0,1001.8611450195312,23.0,117.33148019457956,997.736083984375,23.0,117.5
2023271N14144,2023,65,KOINU,2023-10-06 06:00:00,21.7,116.9,956.0,1002.4251708984375,23.0,116.83113273106324,999.7033081054688,23.0,117.0
2023271N14144,2023,65,KOINU,2023-10-06 12:00:00,21.4,116.3,957.0,1004.7864990234375,22.75,116.08061153578873,1004.3150024414062,22.5,116.5
2023271N14144,2023,65,KOINU,2023-10-06 18:00:00,21.2,115.7,953.0,1006.0323486328125,22.5,116.08061153578873,1004.4445190429688,22.5,116.5
2023271N14144,2023,65,KOINU,2023-10-07 00:00:00,21.1,115.4,958.0,1008.4339599609375,22.5,116.08061153578873,1006.725830078125,22.5,116.5
2023271N14144,2023,65,KOINU,2023-10-07 06:00:00,21.2,115.2,953.0,1008.220458984375,22.75,115.5802640722724,1007.528076171875,22.5,116.5
2023271N14144,2023,65,KOINU,2023-10-07 12:00:00,21.3,115.1,957.0,1009.4949951171875,22.25,116.08061153578873,1009.5947875976562,22.5,116.5
2023271N14144,2023,65,KOINU,2023-10-07 18:00:00,21.4,114.9,968.0,1009.9053344726562,22.25,116.08061153578873,1009.3768920898438,22.5,116.0
2023271N14144,2023,65,KOINU,2023-10-08 00:00:00,21.5,114.6,977.0,1011.25830078125,22.25,116.08061153578873,1011.3150024414062,22.0,115.5
2023271N14144,2023,65,KOINU,2023-10-08 06:00:00,21.6,114.3,973.0,1010.248779296875,18.25,118.08200138985406,1009.8870849609375,21.5,115.0
