SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2024299N14145,2024,77,KONG-REY,2024-10-29 00:00:00,17.4,127.2,971.0,,17.4,127.2,975.98974609375,17.5,127.0
2024299N14145,2024,77,KONG-REY,2024-10-29 06:00:00,17.8,126.5,958.0,972.6776733398438,18.0,126.58790826963168,971.8876342773438,18.0,126.5
2024299N14145,2024,77,KONG-REY,2024-10-29 12:00:00,18.5,126.1,945.0,970.7923583984375,18.25,126.08756080611535,971.6411743164062,18.5,126.0
2024299N14145,2024,77,KONG-REY,2024-10-29 18:00:00,18.8,125.5,931.0,967.3341674804688,18.75,125.33703961084085,968.3721923828125,19.0,125.0
2024299N14145,2024,77,KONG-REY,2024-10-30 00:00:00,19.1,124.9,927.0,967.1931762695312,19.0,124.83669214732453,966.5103759765625,19.5,124.5
2024299N14145,2024,77,KONG-REY,2024-10-30 06:00:00,19.8,124.2,932.0,961.7156982421875,19.25,124.08617095205003,959.8961791992188,19.5,124.0
2024299N14145,2024,77,KONG-REY,2024-10-30 12:00:00,20.4,123.6,934.0,963.6587524414062,20.0,123.33564975677552,959.4063110351562,20.5,123.5
2024299N14145,2024,77,KONG-REY,2024-10-30 18:00:00,21.0,122.8,934.0,964.4669799804688,20.0,122.33495482974287,956.458984375,20.5,122.5
2024299N14145,2024,77,KONG-REY,2024-10-31 00:00:00,22.0,122.2,938.0,969.8021240234375,21.0,122.0847810979847,960.0432739257812,22.0,122.0
2024299N14145,2024,77,KONG-REY,2024-10-31 06:00:00,23.1,121.3,947.0,969.9207763671875,21.75,120.83391243919388,968.152587890625,23.0,121.5
2024299N14145,2024,77,KONG-REY,2024-10-31 12:00:00,24.0,120.2,954.0,978.3244018554688,23.25,120.08339124391938,979.851318359375,23.5,120.0
2024299N14145,2024,77,KONG-REY,2024-10-31 18:00:00,25.2,120.1,980.0,983.5006103515625,24.0,118.83252258512856,984.3446044921875,24.5,119.5
2024299N14145,2024,77,KONG-REY,2024-11-01 00:00:00,26.7,120.6,983.0,995.468994140625,25.0,118.83252258512856,993.6024780273438,25.5,119.5
2024299N14145,2024,77,KONG-REY,2024-11-01 06:00:00,28.3,121.4,990.0,999.7648315429688,26.0,119.08269631688671,999.1026611328125,27.0,120.0
2024299N14145,2024,77,KONG-REY,2024-11-01 12:00:00,30.5,123.2,990.0,1004.999755859375,26.5,120.08339124391938,1003.58642578125,28.0,121.0
2024299N14145,2024,77,KONG-REY,2024-11-01 18:00:00,32.2,126.1,998.0,1004.0653076171875,30.0,121.3342599027102,1004.3397827148438,29.5,122.5
