SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2019214N15134,2019,44,LEKIMA,2019-08-07 00:00:00,20.4,128.1,963.0,,20.4,128.1,972.44775390625,20.5,128.0
2019214N15134,2019,44,LEKIMA,2019-08-07 06:00:00,21.0,127.7,955.0,972.6663208007812,21.0,128.08895066018067,965.487548828125,21.0,128.0
2019214N15134,2019,44,LEKIMA,2019-08-07 12:00:00,21.6,127.0,933.0,972.4050903320312,21.5,127.088255733148,964.600341796875,22.0,127.0
2019214N15134,2019,44,LEKIMA,2019-08-07 18:00:00,22.1,126.4,925.0,970.390869140625,22.0,126.33773453787352,960.8900756835938,22.5,126.5
2019214N15134,2019,44,LEKIMA,2019-08-08 00:00:00,22.7,126.0,916.0,969.1305541992188,23.0,126.08756080611535,957.4061889648438,23.0,126.0
2019214N15134,2019,44,LEKIMA,2019-08-08 06:00:00,23.7,125.4,912.0,969.5354614257812,23.5,125.33703961084085,944.22998046875,23.5,125.5
2019214N15134,2019,44,LEKIMA,2019-08-08 12:00:00,24.4,124.9,905.0,966.7591552734375,24.0,124.83669214732453,950.989990234375,24.5,125.5
2019214N15134,2019,44,LEKIMA,2019-08-08 18:00:00,25.5,124.5,904.0,963.589599609375,25.0,124.08617095205003,940.5963134765625,25.5,124.5
2019214N15134,2019,44,LEKIMA,2019-08-09 00:00:00,26.4,123.4,911.0,968.4505615234375,25.75,123.08547602501736,950.318603515625,26.0,123.5
2019214N15134,2019,44,LEKIMA,2019-08-09 06:00:00,27.1,122.5,925.0,966.3486938476562,26.0,122.58512856150104,941.33837890625,26.5,123.0
2019214N15134,2019,44,LEKIMA,2019-08-09 12:00:00,27.5,122.0,931.0,968.0103759765625,26.0,122.58512856150104,943.8470458984375,27.0,123.0
2019214N15134,2019,44,LEKIMA,2019-08-09 18:00:00,28.3,121.4,939.0,969.0640869140625,27.0,122.58512856150104,947.9743041992188,28.0,123.0
2019214N15134,2019,44,LEKIMA,2019-08-10 00:00:00,29.1,120.8,953.0,970.3353271484375,28.0,122.0847810979847,952.1112670898438,29.0,122.5
2019214N15134,2019,44,LEKIMA,2019-08-10 06:00:00,30.0,120.4,965.0,971.0388793945312,29.0,122.0847810979847,954.5809326171875,30.0,121.5
2019214N15134,2019,44,LEKIMA,2019-08-10 12:00:00,30.8,120.5,969.0,974.8075561523438,30.0,122.0847810979847,957.6882934570312,30.5,122.0
2019214N15134,2019,44,LEKIMA,2019-08-10 18:00:00,31.9,120.6,968.0,976.3701782226562,30.75,121.3342599027102,960.758056640625,31.5,122.0
2019214N15134,2019,44,LEKIMA,2019-08-11 00:00:00,33.5,120.4,977.0,977.351318359375,32.0,121.58443363446837,963.2830200195312,33.0,122.5
2019214N15134,2019,44,LEKIMA,2019-08-11 06:00:00,34.9,119.9,984.0,976.0992431640625,33.0,121.3342599027102,966.7588500976562,34.5,122.0
2019214N15134,2019,44,LEKIMA,2019-08-11 12:00:00,36.0,120.1,982.0,976.8340454101562,34.75,121.3342599027102,967.272216796875,36.0,122.0
2019214N15134,2019,44,LEKIMA,2019-08-11 18:00:00,37.1,119.9,980.0,976.350830078125,36.0,120.83391243919388,970.310546875,37.5,121.5
