SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021214N21110,2021,55,LUPIT,2021-08-05 00:00:00,23.1,116.9,987.0,,23.1,116.9,985.6487426757812,23.0,117.0
2021214N21110,2021,55,LUPIT,2021-08-05 06:00:00,23.5,117.0,986.0,990.0186767578125,23.5,116.83113273106324,985.7286987304688,23.5,117.5
2021214N21110,2021,55,LUPIT,2021-08-05 12:00:00,23.9,117.3,988.0,992.2931518554688,23.5,117.0813064628214,988.30419921875,24.0,117.0
2021214N21110,2021,55,LUPIT,2021-08-05 18:00:00,24.1,117.5,988.0,991.7725219726562,23.75,117.33148019457956,987.7400512695312,24.0,117.0
2021214N21110,2021,55,LUPIT,2021-08-06 00:00:00,24.4,118.2,988.0,993.0670166015625,24.25,117.83182765809589,987.544921875,24.5,117.5
2021214N21110,2021,55,LUPIT,2021-08-06 06:00:00,24.7,118.8,990.0,992.4600830078125,24.5,117.83182765809589,989.5479125976562,25.0,118.0
2021214N21110,2021,55,LUPIT,2021-08-06 12:00:00,25.0,119.4,987.0,994.0552368164062,24.25,117.83182765809589,990.6568603515625,25.0,118.0
2021214N21110,2021,55,LUPIT,2021-08-06 18:00:00,25.0,119.9,991.0,993.355712890625,24.5,118.08200138985406,988.9979858398438,25.0,118.0
2021214N21110,2021,55,LUPIT,2021-08-07 00:00:00,25.0,120.6,985.0,994.173583984375,24.75,118.58234885337039,988.142333984375,25.0,119.0
2021214N21110,2021,55,LUPIT,2021-08-07 06:00:00,25.6,122.7,988.0,993.5463256835938,25.0,119.08269631688671,989.064208984375,25.5,119.5
2021214N21110,2021,55,LUPIT,2021-08-07 12:00:00,27.2,124.3,993.0,995.1558837890625,25.25,119.58304378040305,988.0123291015625,25.0,120.0
2021214N21110,2021,55,LUPIT,2021-08-07 18:00:00,28.4,125.5,991.0,995.47021484375,25.75,120.33356497567755,992.1525268554688,25.0,120.5
2021214N21110,2021,55,LUPIT,2021-08-08 00:00:00,29.4,126.8,990.0,998.1461791992188,25.25,122.0847810979847,993.99755859375,24.5,123.0
2021214N21110,2021,55,LUPIT,2021-08-08 06:00:00,30.2,128.2,989.0,998.1358032226562,26.25,123.58582348853369,991.55859375,25.5,125.0
2021214N21110,2021,55,LUPIT,2021-08-08 12:00:00,31.5,130.8,985.0,999.5432739257812,27.25,125.58721334259901,994.3740844726562,27.0,126.5
2021214N21110,2021,55,LUPIT,2021-08-08 18:00:00,33.8,132.3,991.0,998.400146484375,28.5,128.08895066018067,993.1566162109375,27.5,127.5
2021214N21110,2021,55,LUPIT,2021-08-09 00:00:00,35.3,133.5,983.0,999.3665771484375,29.75,130.34051424600415,993.6437377929688,28.0,129.0
2021214N21110,2021,55,LUPIT,2021-08-09 06:00:00,36.6,135.0,985.0,999.2288818359375,31.0,132.34190410006948,991.6810302734375,29.5,130.5
2021214N21110,2021,55,LUPIT,2021-08-09 12:00:00,37.8,136.2,989.0,1001.6713256835938,32.5,135.0938151494093,990.8814086914062,31.0,132.5
2021214N21110,2021,55,LUPIT,2021-08-09 18:00:00,38.9,138.0,976.0,1001.5985717773438,33.0,136.84503127171646,986.1180419921875,32.5,134.0
2021214N21110,2021,55,LUPIT,2021-08-10 00:00:00,39.6,140.9,981.0,1002.254150390625,35.25,139.59694232105628,988.4564819335938,34.0,136.5
2021214N21110,2021,55,LUPIT,2021-08-10 06:00:00,40.5,143.4,979.0,1002.5814819335938,36.75,142.59902710215425,994.452392578125,36.0,139.5
