SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2016256N12146,2016,65,MALAKAS,2016-09-15 00:00:00,16.9,128.8,970.0,,16.9,128.8,992.231689453125,17.0,128.5
2016256N12146,2016,65,MALAKAS,2016-09-15 06:00:00,17.6,127.8,967.0,993.431640625,17.5,127.8387769284225,988.7189331054688,18.0,127.5
2016256N12146,2016,65,MALAKAS,2016-09-15 12:00:00,18.4,126.7,956.0,995.0374755859375,18.25,126.58790826963168,984.6177978515625,18.5,126.5
2016256N12146,2016,65,MALAKAS,2016-09-15 18:00:00,19.3,125.6,966.0,991.4357299804688,19.0,125.83738707435718,985.9063110351562,19.5,125.5
2016256N12146,2016,65,MALAKAS,2016-09-16 00:00:00,20.1,124.7,952.0,991.2689819335938,20.0,124.83669214732453,984.5159912109375,20.0,124.5
2016256N12146,2016,65,MALAKAS,2016-09-16 06:00:00,21.1,123.9,944.0,990.0599365234375,21.0,124.08617095205003,976.520263671875,21.0,123.5
2016256N12146,2016,65,MALAKAS,2016-09-16 12:00:00,22.1,123.4,937.0,989.5533447265625,21.75,123.33564975677552,976.6470947265625,22.0,123.0
2016256N12146,2016,65,MALAKAS,2016-09-16 18:00:00,22.9,123.1,937.0,989.2815551757812,23.0,122.8353022932592,981.8043212890625,23.5,122.5
2016256N12146,2016,65,MALAKAS,2016-09-17 00:00:00,24.1,123.0,941.0,991.54638671875,24.0,122.33495482974287,976.92431640625,24.5,122.5
2016256N12146,2016,65,MALAKAS,2016-09-17 06:00:00,25.2,122.8,948.0,992.2672729492188,25.0,122.0847810979847,987.0211791992188,25.5,122.0
2016256N12146,2016,65,MALAKAS,2016-09-17 12:00:00,25.8,122.7,963.0,993.9686889648438,25.75,122.0847810979847,985.3644409179688,26.5,122.0
2016256N12146,2016,65,MALAKAS,2016-09-17 18:00:00,26.2,122.8,967.0,991.63916015625,26.0,121.83460736622654,979.7952270507812,27.0,122.5
2016256N12146,2016,65,MALAKAS,2016-09-18 00:00:00,26.8,123.4,967.0,991.8348388671875,26.75,122.0847810979847,982.7086791992188,27.5,123.0
2016256N12146,2016,65,MALAKAS,2016-09-18 06:00:00,27.5,124.2,959.0,989.5099487304688,27.0,122.8353022932592,979.5633544921875,28.5,123.5
2016256N12146,2016,65,MALAKAS,2016-09-18 12:00:00,28.0,125.1,961.0,990.19775390625,27.5,123.58582348853369,978.38720703125,29.0,124.5
2016256N12146,2016,65,MALAKAS,2016-09-18 18:00:00,28.6,126.1,948.0,990.2608032226562,28.25,124.08617095205003,972.71142578125,29.5,125.0
2016256N12146,2016,65,MALAKAS,2016-09-19 00:00:00,29.4,127.1,941.0,992.1989135742188,28.75,125.33703961084085,967.834228515625,30.0,126.0
2016256N12146,2016,65,MALAKAS,2016-09-19 06:00:00,30.2,128.3,941.0,991.509033203125,29.75,127.088255733148,968.2207641601562,30.5,127.0
2016256N12146,2016,65,MALAKAS,2016-09-19 12:00:00,30.8,129.7,950.0,994.14599609375,30.25,129.08964558721334,978.3719482421875,31.0,128.5
2016256N12146,2016,65,MALAKAS,2016-09-19 18:00:00,31.6,131.5,963.0,995.1564331054688,31.0,130.84086170952048,978.5660400390625,32.0,130.0
2016256N12146,2016,65,MALAKAS,2016-09-20 00:00:00,32.8,133.5,979.0,998.6130981445312,32.25,133.59277275886032,986.8234252929688,33.0,132.5
2016256N12146,2016,65,MALAKAS,2016-09-20 06:00:00,34.3,136.1,986.0,997.0158081054688,33.25,136.34468380820013,989.0225219726562,34.0,135.0
2016256N12146,2016,65,MALAKAS,2016-09-20 12:00:00,34.8,138.4,996.0,1004.32958984375,34.0,139.09659485753994,1000.6754760742188,35.0,138.5
