SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2014197N10137,2014,42,MATMO,2014-07-20 18:00:00,15.1,127.8,970.0,990.2332153320312,15.75,128.08895066018067,989.706787109375,16.0,128.0
2014197N10137,2014,42,MATMO,2014-07-21 00:00:00,16.5,127.3,970.0,990.6904907226562,17.0,127.088255733148,989.4520263671875,17.0,127.0
2014197N10137,2014,42,MATMO,2014-07-21 06:00:00,17.9,126.4,970.0,987.9304809570312,18.0,126.08756080611535,987.2199096679688,18.5,126.5
2014197N10137,2014,42,MATMO,2014-07-21 12:00:00,18.5,125.3,967.0,987.5661010742188,19.0,125.0868658790827,986.4872436523438,19.0,125.0
2014197N10137,2014,42,MATMO,2014-07-21 18:00:00,19.4,124.4,963.0,984.4696655273438,20.0,124.08617095205003,981.7044677734375,20.0,124.5
2014197N10137,2014,42,MATMO,2014-07-22 00:00:00,20.5,123.7,963.0,984.2223510742188,21.0,123.08547602501736,979.0106201171875,21.0,123.5
2014197N10137,2014,42,MATMO,2014-07-22 06:00:00,21.9,122.7,959.0,980.00146484375,22.0,122.58512856150104,975.9163818359375,22.0,123.0
2014197N10137,2014,42,MATMO,2014-07-22 12:00:00,22.6,122.0,959.0,984.37939453125,23.0,122.0847810979847,976.35400390625,23.0,122.5
2014197N10137,2014,42,MATMO,2014-07-22 18:00:00,23.5,121.0,963.0,982.977294921875,24.5,120.58373870743571,984.6040649414062,23.5,121.5
2014197N10137,2014,42,MATMO,2014-07-23 00:00:00,24.4,120.1,970.0,984.7800903320312,24.75,120.08339124391938,985.3290405273438,24.5,120.5
2014197N10137,2014,42,MATMO,2014-07-23 06:00:00,25.1,119.6,974.0,986.8732299804688,25.0,119.08269631688671,981.11328125,25.0,120.0
2014197N10137,2014,42,MATMO,2014-07-23 12:00:00,25.7,118.8,989.0,990.9010009765625,26.25,118.33217512161222,980.9163208007812,26.0,120.0
2014197N10137,2014,42,MATMO,2014-07-23 18:00:00,26.5,118.2,996.0,991.3170166015625,26.5,118.08200138985406,988.7232055664062,27.0,119.5
