SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2016265N10150,2016,71,MEGI,2016-09-25 06:00:00,19.9,130.4,959.0,,19.9,130.4,970.3638305664062,20.0,129.0
2016265N10150,2016,71,MEGI,2016-09-25 12:00:00,20.1,129.4,959.0,,20.1,129.4,970.3638305664062,20.0,129.0
2016265N10150,2016,71,MEGI,2016-09-25 18:00:00,20.5,128.2,959.0,968.7228393554688,20.5,128.08895066018067,964.878173828125,20.5,128.0
2016265N10150,2016,71,MEGI,2016-09-26 00:00:00,20.8,127.3,952.0,969.4891357421875,21.0,127.088255733148,961.7293090820312,21.0,127.0
2016265N10150,2016,71,MEGI,2016-09-26 06:00:00,21.4,126.2,948.0,964.77880859375,21.5,126.08756080611535,950.96630859375,21.5,126.0
2016265N10150,2016,71,MEGI,2016-09-26 12:00:00,21.9,125.3,944.0,967.1654663085938,22.0,125.0868658790827,951.7131958007812,22.0,125.0
2016265N10150,2016,71,MEGI,2016-09-26 18:00:00,22.4,124.3,941.0,965.5352172851562,22.0,124.08617095205003,947.4450073242188,22.5,123.5
2016265N10150,2016,71,MEGI,2016-09-27 00:00:00,23.2,123.3,937.0,971.1104125976562,23.0,123.08547602501736,951.8463134765625,23.0,122.5
2016265N10150,2016,71,MEGI,2016-09-27 06:00:00,24.1,121.6,948.0,976.8889770507812,24.25,120.83391243919388,968.752197265625,23.5,120.5
2016265N10150,2016,71,MEGI,2016-09-27 12:00:00,24.0,120.5,963.0,976.2384643554688,24.25,120.08339124391938,975.2156372070312,24.0,119.5
2016265N10150,2016,71,MEGI,2016-09-27 18:00:00,24.6,119.4,978.0,981.238525390625,24.0,118.83252258512856,978.6765747070312,24.5,119.0
2016265N10150,2016,71,MEGI,2016-09-28 00:00:00,25.0,118.1,981.0,987.0240478515625,24.25,118.08200138985406,987.7095336914062,24.5,117.5
2016265N10150,2016,71,MEGI,2016-09-28 06:00:00,25.0,116.9,989.0,991.8622436523438,24.5,118.08200138985406,990.9180297851562,24.5,116.5
2016265N10150,2016,71,MEGI,2016-09-28 12:00:00,25.3,116.4,996.0,993.9835205078125,24.75,116.3307852675469,996.030517578125,25.0,116.0
