SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2009196N14129,2009,39,MOLAVE,2009-07-16 18:00:00,18.1,124.0,996.0,992.382080078125,18.5,123.58582348853369,990.7218017578125,18.5,124.0
2009196N14129,2009,39,MOLAVE,2009-07-17 00:00:00,18.8,123.3,991.0,992.7388305664062,19.25,122.8353022932592,989.638916015625,19.0,123.0
2009196N14129,2009,39,MOLAVE,2009-07-17 06:00:00,19.6,122.6,987.0,990.2288818359375,19.75,121.83460736622654,985.0267333984375,19.5,122.5
2009196N14129,2009,39,MOLAVE,2009-07-17 12:00:00,20.7,121.3,980.0,989.2175903320312,20.0,120.83391243919388,985.0470581054688,20.5,121.5
2009196N14129,2009,39,MOLAVE,2009-07-17 18:00:00,21.0,119.6,980.0,987.5658569335938,20.5,119.83321751216121,983.8084106445312,20.5,120.5
2009196N14129,2009,39,MOLAVE,2009-07-18 00:00:00,21.4,118.3,980.0,986.6361694335938,21.25,118.83252258512856,982.7471923828125,21.0,119.5
2009196N14129,2009,39,MOLAVE,2009-07-18 06:00:00,21.8,117.1,974.0,987.14501953125,22.0,117.83182765809589,981.9071044921875,22.0,118.5
2009196N14129,2009,39,MOLAVE,2009-07-18 12:00:00,22.3,116.0,974.0,988.62255859375,22.5,116.08061153578873,982.2296142578125,22.0,117.0
2009196N14129,2009,39,MOLAVE,2009-07-18 18:00:00,22.6,114.4,982.0,989.8818969726562,22.75,114.32939541348158,981.8479614257812,22.5,116.0
2009196N14129,2009,39,MOLAVE,2009-07-19 00:00:00,22.9,112.8,996.0,992.42236328125,23.25,112.82835302293259,982.477294921875,22.5,114.5
