SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2016355N07146,2016,96,NOCK-TEN,2016-12-23 00:00:00,11.7,133.2,994.0,,11.7,133.2,993.0628051757812,11.5,133.0
2016355N07146,2016,96,NOCK-TEN,2016-12-23 06:00:00,12.0,132.1,974.0,996.144287109375,12.0,131.84155663655315,987.6874389648438,12.0,132.0
2016355N07146,2016,96,NOCK-TEN,2016-12-23 12:00:00,12.6,131.0,967.0,997.7578125,12.25,130.84086170952048,988.272216796875,12.5,131.0
2016355N07146,2016,96,NOCK-TEN,2016-12-23 18:00:00,13.0,129.9,954.0,994.178466796875,12.75,129.84016678248784,985.2706909179688,13.0,130.0
2016355N07146,2016,96,NOCK-TEN,2016-12-24 00:00:00,13.1,128.9,935.0,996.5463256835938,13.0,129.08964558721334,983.5233764648438,13.5,129.0
2016355N07146,2016,96,NOCK-TEN,2016-12-24 06:00:00,13.3,128.2,933.0,993.3712768554688,13.25,128.08895066018067,984.0197143554688,13.5,128.0
2016355N07146,2016,96,NOCK-TEN,2016-12-24 12:00:00,13.4,127.5,929.0,996.1336669921875,13.5,127.33842946490617,981.8252563476562,13.5,127.5
2016355N07146,2016,96,NOCK-TEN,2016-12-24 18:00:00,13.6,126.7,922.0,994.9911499023438,13.5,126.58790826963168,975.0546264648438,13.5,127.0
2016355N07146,2016,96,NOCK-TEN,2016-12-25 00:00:00,13.5,126.0,918.0,996.322998046875,13.25,126.08756080611535,973.64501953125,13.5,126.5
2016355N07146,2016,96,NOCK-TEN,2016-12-25 06:00:00,13.5,125.1,922.0,995.530517578125,13.25,125.0868658790827,977.2832641601562,13.5,126.0
2016355N07146,2016,96,NOCK-TEN,2016-12-25 12:00:00,13.5,124.0,933.0,998.88232421875,13.5,124.08617095205003,979.4691162109375,13.5,125.0
2016355N07146,2016,96,NOCK-TEN,2016-12-25 18:00:00,13.5,122.7,915.0,998.8493041992188,13.25,122.8353022932592,979.4625244140625,13.5,124.0
2016355N07146,2016,96,NOCK-TEN,2016-12-26 00:00:00,13.5,121.4,959.0,1001.8342895507812,13.25,122.0847810979847,988.2352905273438,13.0,122.5
2016355N07146,2016,96,NOCK-TEN,2016-12-26 06:00:00,14.0,119.9,967.0,1000.8372802734375,13.75,120.83391243919388,997.0888061523438,13.0,121.5
2016355N07146,2016,96,NOCK-TEN,2016-12-26 12:00:00,14.4,118.7,985.0,1002.8139038085938,13.5,119.83321751216121,996.2977294921875,13.5,120.0
2016355N07146,2016,96,NOCK-TEN,2016-12-26 18:00:00,14.7,117.2,988.0,1001.3377075195312,13.75,118.83252258512856,998.8679809570312,14.0,118.5
2016355N07146,2016,96,NOCK-TEN,2016-12-27 00:00:00,14.9,116.3,982.0,1002.796142578125,14.25,118.08200138985406,994.6780395507812,14.0,117.5
2016355N07146,2016,96,NOCK-TEN,2016-12-27 06:00:00,14.7,115.8,985.0,1000.9229736328125,14.25,117.0813064628214,994.214111328125,14.0,116.5
2016355N07146,2016,96,NOCK-TEN,2016-12-27 12:00:00,14.2,115.4,996.0,1003.1953735351562,14.0,116.58095899930507,998.78369140625,14.0,115.5
