SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2019354N05151,2019,109,PHANFONE,2019-12-22 06:00:00,7.6,138.0,999.0,,7.6,138.0,1002.48046875,8.5,136.5
2019354N05151,2019,109,PHANFONE,2019-12-23 12:00:00,10.5,130.8,998.0,1009.5914306640625,8.75,134.3432939541348,1008.9701538085938,10.5,132.5
2019354N05151,2019,109,PHANFONE,2019-12-23 18:00:00,10.7,129.4,989.0,1005.053466796875,10.25,130.84086170952048,996.1732788085938,10.5,128.5
2019354N05151,2019,109,PHANFONE,2019-12-24 00:00:00,10.8,127.9,984.0,1006.6732788085938,10.75,128.589298123697,996.27587890625,11.0,127.5
2019354N05151,2019,109,PHANFONE,2019-12-24 06:00:00,11.0,126.4,977.0,1003.4066162109375,11.0,127.33842946490617,991.741943359375,11.0,126.5
2019354N05151,2019,109,PHANFONE,2019-12-24 12:00:00,11.4,124.9,972.0,1005.0017700195312,11.5,126.08756080611535,993.2792358398438,11.5,125.0
2019354N05151,2019,109,PHANFONE,2019-12-24 18:00:00,11.7,123.4,966.0,1003.8976440429688,11.75,124.33634468380819,985.5184936523438,11.5,123.5
2019354N05151,2019,109,PHANFONE,2019-12-25 00:00:00,11.8,122.4,958.0,1005.5580444335938,11.75,123.33564975677552,994.4006958007812,12.0,122.0
2019354N05151,2019,109,PHANFONE,2019-12-25 06:00:00,12.2,121.3,958.0,1003.8829956054688,12.25,122.0847810979847,991.01904296875,12.0,121.0
2019354N05151,2019,109,PHANFONE,2019-12-25 12:00:00,12.6,120.1,964.0,1005.202880859375,12.75,120.58373870743571,988.9677124023438,12.0,119.5
2019354N05151,2019,109,PHANFONE,2019-12-25 18:00:00,12.8,119.3,972.0,1003.4363403320312,13.0,119.83321751216121,992.2299194335938,12.5,118.5
2019354N05151,2019,109,PHANFONE,2019-12-26 00:00:00,13.1,118.6,976.0,1003.70361328125,13.25,118.83252258512856,978.92626953125,12.5,117.5
2019354N05151,2019,109,PHANFONE,2019-12-26 06:00:00,13.4,118.0,974.0,1000.8501586914062,13.5,118.08200138985406,977.3009643554688,13.0,116.5
2019354N05151,2019,109,PHANFONE,2019-12-26 12:00:00,13.9,117.7,978.0,1002.490966796875,13.5,117.83182765809589,981.7664184570312,13.0,115.5
2019354N05151,2019,109,PHANFONE,2019-12-26 18:00:00,14.3,117.3,982.0,1000.7379150390625,13.75,117.0813064628214,968.228515625,13.5,115.0
2019354N05151,2019,109,PHANFONE,2019-12-27 00:00:00,14.6,117.0,988.0,1002.4072875976562,13.5,116.83113273106324,982.8632202148438,14.0,114.5
2019354N05151,2019,109,PHANFONE,2019-12-27 06:00:00,14.8,116.6,994.0,1000.9093017578125,13.75,116.58095899930507,977.729248046875,14.0,114.0
2019354N05151,2019,109,PHANFONE,2019-12-27 12:00:00,14.8,116.2,998.0,1002.28857421875,13.75,116.58095899930507,987.69677734375,14.0,113.5
