SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013178N09133,2013,30,RUMBIA,2013-06-29 06:00:00,12.5,124.1,996.0,,12.5,124.1,1002.3018188476562,13.5,122.5
2013178N09133,2013,30,RUMBIA,2013-06-29 12:00:00,13.5,122.9,996.0,,13.5,122.9,1002.3018188476562,13.5,122.5
2013178N09133,2013,30,RUMBIA,2013-06-29 18:00:00,14.0,121.3,996.0,1002.5892944335938,14.25,120.58373870743571,1000.446533203125,14.0,121.0
2013178N09133,2013,30,RUMBIA,2013-06-30 00:00:00,14.6,119.8,996.0,1002.71337890625,14.5,119.83321751216121,998.6326293945312,14.5,120.0
2013178N09133,2013,30,RUMBIA,2013-06-30 06:00:00,15.5,118.5,993.0,999.0722045898438,15.25,118.33217512161222,992.4163208007812,15.5,118.5
2013178N09133,2013,30,RUMBIA,2013-06-30 12:00:00,16.6,117.2,989.0,997.9254150390625,16.0,117.0813064628214,993.9320068359375,16.0,117.5
2013178N09133,2013,30,RUMBIA,2013-06-30 18:00:00,17.6,115.5,989.0,995.193359375,17.0,115.83043780403057,991.832763671875,17.5,116.0
2013178N09133,2013,30,RUMBIA,2013-07-01 00:00:00,18.3,114.0,982.0,993.6140747070312,18.0,114.32939541348158,990.7002563476562,18.0,114.5
2013178N09133,2013,30,RUMBIA,2013-07-01 06:00:00,19.1,112.7,978.0,992.7711181640625,18.75,113.07852675469076,989.6681518554688,19.0,114.0
2013178N09133,2013,30,RUMBIA,2013-07-01 12:00:00,19.7,111.7,970.0,992.2896728515625,19.25,112.07783182765809,989.51123046875,20.5,112.5
2013178N09133,2013,30,RUMBIA,2013-07-01 18:00:00,20.6,110.6,978.0,993.5726318359375,20.0,111.07713690062542,991.6766967773438,21.0,111.5
2013178N09133,2013,30,RUMBIA,2013-07-02 00:00:00,21.4,109.9,982.0,994.4349975585938,20.75,109.8262682418346,997.016357421875,22.5,111.0
2013178N09133,2013,30,RUMBIA,2013-07-02 06:00:00,22.8,109.2,993.0,994.3381958007812,21.5,109.07574704656011,999.6941528320312,23.5,110.5
