SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2007223N19136,2007,44,SEPAT,2007-08-16 00:00:00,17.2,126.6,918.0,,17.2,126.6,971.6051635742188,17.0,126.5
2007223N19136,2007,44,SEPAT,2007-08-16 06:00:00,17.9,126.1,918.0,982.9043579101562,17.75,126.08756080611535,968.0340576171875,17.5,126.0
2007223N19136,2007,44,SEPAT,2007-08-16 12:00:00,18.7,125.6,918.0,983.963134765625,18.5,125.58721334259901,964.1157836914062,18.5,125.5
2007223N19136,2007,44,SEPAT,2007-08-16 18:00:00,19.4,124.8,918.0,982.3245239257812,19.25,124.83669214732453,962.3023681640625,19.5,125.0
2007223N19136,2007,44,SEPAT,2007-08-17 00:00:00,20.4,124.2,922.0,981.8819580078125,20.0,124.08617095205003,961.5809326171875,20.0,124.5
2007223N19136,2007,44,SEPAT,2007-08-17 06:00:00,21.0,123.4,933.0,979.4132080078125,21.0,123.08547602501736,961.640380859375,21.0,123.5
2007223N19136,2007,44,SEPAT,2007-08-17 12:00:00,21.8,122.9,937.0,979.5173950195312,21.5,122.58512856150104,959.0804443359375,21.5,123.0
2007223N19136,2007,44,SEPAT,2007-08-17 18:00:00,22.7,122.0,944.0,984.4785766601562,22.5,122.0847810979847,957.9129638671875,22.5,122.5
2007223N19136,2007,44,SEPAT,2007-08-18 00:00:00,23.6,121.0,948.0,986.976806640625,23.75,120.33356497567755,960.7135009765625,23.0,122.0
2007223N19136,2007,44,SEPAT,2007-08-18 06:00:00,24.0,119.9,959.0,986.0003662109375,23.75,119.58304378040305,973.5653686523438,24.0,120.5
2007223N19136,2007,44,SEPAT,2007-08-18 12:00:00,24.4,119.5,967.0,986.0204467773438,24.0,119.33287004864488,979.09912109375,23.5,120.0
2007223N19136,2007,44,SEPAT,2007-08-18 18:00:00,24.8,119.0,974.0,987.1743774414062,25.0,120.08339124391938,980.4971313476562,25.0,120.5
2007223N19136,2007,44,SEPAT,2007-08-19 00:00:00,25.2,118.5,982.0,990.072509765625,25.25,119.33287004864488,982.862548828125,25.5,120.0
2007223N19136,2007,44,SEPAT,2007-08-19 06:00:00,25.6,118.2,989.0,992.4779052734375,26.0,119.08269631688671,984.623291015625,25.5,119.5
2007223N19136,2007,44,SEPAT,2007-08-19 12:00:00,26.1,117.8,996.0,994.5679931640625,26.75,118.33217512161222,988.5189819335938,26.0,119.5
