SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013259N17132,2013,65,USAGI,2013-09-19 00:00:00,17.0,128.3,952.0,,17.0,128.3,976.5777587890625,17.5,128.5
2013259N17132,2013,65,USAGI,2013-09-19 06:00:00,17.5,128.0,933.0,970.922119140625,17.5,128.08895066018067,971.0062255859375,17.5,127.5
2013259N17132,2013,65,USAGI,2013-09-19 12:00:00,18.2,127.2,922.0,971.174560546875,18.0,127.088255733148,971.7594604492188,18.5,127.0
2013259N17132,2013,65,USAGI,2013-09-19 18:00:00,18.8,126.4,922.0,966.9100952148438,18.75,126.08756080611535,966.6288452148438,18.5,126.0
2013259N17132,2013,65,USAGI,2013-09-20 00:00:00,19.3,125.5,922.0,967.64453125,19.0,125.0868658790827,966.1643676757812,19.5,125.5
2013259N17132,2013,65,USAGI,2013-09-20 06:00:00,19.7,124.6,926.0,963.4607543945312,19.25,124.08617095205003,961.0310668945312,20.0,124.5
2013259N17132,2013,65,USAGI,2013-09-20 12:00:00,20.2,123.8,926.0,966.8157958984375,19.5,123.08547602501736,956.3687744140625,20.5,123.5
2013259N17132,2013,65,USAGI,2013-09-20 18:00:00,20.4,122.6,926.0,963.4722900390625,20.0,122.0847810979847,951.2003784179688,21.0,122.5
2013259N17132,2013,65,USAGI,2013-09-21 00:00:00,20.6,121.8,933.0,967.691162109375,20.0,121.58443363446837,948.249267578125,21.5,121.5
2013259N17132,2013,65,USAGI,2013-09-21 06:00:00,20.8,120.8,944.0,966.12255859375,20.0,120.83391243919388,951.4039306640625,21.5,120.5
2013259N17132,2013,65,USAGI,2013-09-21 12:00:00,21.1,119.8,959.0,967.9932861328125,20.0,120.08339124391938,960.662353515625,22.0,119.0
2013259N17132,2013,65,USAGI,2013-09-21 18:00:00,21.4,118.9,956.0,971.3439331054688,20.25,119.58304378040305,955.7718505859375,22.0,118.0
2013259N17132,2013,65,USAGI,2013-09-22 00:00:00,21.8,117.9,952.0,972.06298828125,20.25,119.08269631688671,954.18603515625,22.0,117.0
2013259N17132,2013,65,USAGI,2013-09-22 06:00:00,22.4,116.8,948.0,965.6824951171875,20.25,118.08200138985406,959.754638671875,22.0,116.0
2013259N17132,2013,65,USAGI,2013-09-22 12:00:00,22.8,115.4,963.0,969.8836059570312,20.5,118.08200138985406,968.157958984375,22.0,114.5
2013259N17132,2013,65,USAGI,2013-09-22 18:00:00,23.2,113.8,978.0,969.8861083984375,20.75,117.0813064628214,974.33984375,22.5,113.5
2013259N17132,2013,65,USAGI,2013-09-23 00:00:00,23.7,112.5,982.0,971.7662353515625,21.0,116.08061153578873,982.1890869140625,22.5,111.5
2013259N17132,2013,65,USAGI,2013-09-23 06:00:00,24.3,111.2,989.0,975.6588134765625,21.25,116.08061153578873,986.031494140625,22.5,110.5
