SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2020129N07134,2020,24,VONGFONG,2020-05-12 18:00:00,11.7,129.2,996.0,1005.8878173828125,12.0,128.83947185545517,1003.2388916015625,12.0,129.0
2020129N07134,2020,24,VONGFONG,2020-05-13 00:00:00,11.9,128.9,992.0,1007.0252075195312,12.0,128.589298123697,1004.1375122070312,12.0,128.5
2020129N07134,2020,24,VONGFONG,2020-05-13 06:00:00,12.0,128.4,985.0,1004.4578857421875,12.25,128.08895066018067,1003.12548828125,12.5,128.0
2020129N07134,2020,24,VONGFONG,2020-05-13 12:00:00,12.1,127.8,970.0,1005.950927734375,12.0,127.58860319666434,1003.2588500976562,12.5,127.5
2020129N07134,2020,24,VONGFONG,2020-05-13 18:00:00,12.2,127.0,961.0,1003.7053833007812,12.25,127.088255733148,999.0701293945312,12.5,127.0
2020129N07134,2020,24,VONGFONG,2020-05-14 00:00:00,12.1,126.2,966.0,1004.3292236328125,12.25,126.08756080611535,998.7639770507812,12.5,126.5
2020129N07134,2020,24,VONGFONG,2020-05-14 06:00:00,12.2,125.3,962.0,1003.2927856445312,12.5,125.33703961084085,998.5943603515625,12.5,126.0
2020129N07134,2020,24,VONGFONG,2020-05-14 12:00:00,12.3,124.5,974.0,1004.1842041015625,12.5,124.08617095205003,996.5775146484375,12.5,125.0
2020129N07134,2020,24,VONGFONG,2020-05-14 18:00:00,12.6,123.6,987.0,1002.8826293945312,12.75,123.33564975677552,995.7335815429688,13.0,124.0
2020129N07134,2020,24,VONGFONG,2020-05-15 00:00:00,13.3,122.7,987.0,1004.4886474609375,13.25,122.33495482974287,995.4168090820312,13.5,123.0
2020129N07134,2020,24,VONGFONG,2020-05-15 06:00:00,13.9,122.0,990.0,1003.6710815429688,13.5,121.58443363446837,997.9114990234375,14.0,122.5
2020129N07134,2020,24,VONGFONG,2020-05-15 12:00:00,14.9,121.3,993.0,1004.8792724609375,14.25,120.33356497567755,996.7352294921875,14.5,122.0
2020129N07134,2020,24,VONGFONG,2020-05-16 00:00:00,17.5,120.1,998.0,1005.6504516601562,15.5,119.58304378040305,1004.1713256835938,16.5,120.0
